Country,Athlete
USA,Christian COLEMAN
USA,Fred KERLEY
USA,Trayvon BROMELL
Jamaica,Yohan BLAKE
Jamaica,Oblique SEVILLE
Jamaica,Jahazeel MURPHY
Canada,Andre DE GRASSE
Canada,Aaron BROWN
South Africa,Akani SIMBINE
Italy,Marcell JACOBS
China,Su BINGTIAN
China,Xie ZHENYE
Great Britain,Zharnel HUGHES
Great Britain,Reece PRESCOD
Japan,Sani BROWN
Japan,Ryota YAMAGATA
Brazil,Paulo Andre CAMILO
Kenya,Ferdinand OMANYALA
Trinidad and Tobago,Richard THOMPSON
France,Jimmy VICAUT
Australia,Rohan BROWNING
Ivory Coast,Arthur CISSE
