Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1,9.58,0.9,Usain BOLT,21-Aug-86,JAM,1,,"Olympiastadion, Berlin (GER)",16-Aug-09,1356
2,9.63,1.5,Usain BOLT,21-Aug-86,JAM,1,,"Olympic Stadium, London (GBR)",5-Aug-12,1337
3,9.68,4.1,Tyson GAY,9-Aug-82,USA,1,,"Eugene, OR (USA)",29-Jun-08,1295
4,9.69,5,Obadele THOMPSON,30-Mar-76,BAR,1,,"El Paso, TX (USA)",13-Apr-96,1286
4,9.69,0,Usain BOLT,21-Aug-86,JAM,1,,"National Stadium, Beijing (CHN)",16-Aug-08,1316
4,9.69,2,Tyson GAY,9-Aug-82,USA,1,,Shanghai (CHN),20-Sep-09,1316
4,9.69,-0.1,Yohan BLAKE,26-Dec-89,JAM,1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",23-Aug-12,1316
4,9.69,4.8,Andre DE GRASSE,10-Nov-94,CAN,1,,"Olympiastadion, Stockholm (SWE)",18-Jun-17,1288
9,9.71,0.9,Tyson GAY,9-Aug-82,USA,2,,"Olympiastadion, Berlin (GER)",16-Aug-09,1308
10,9.72,1.7,Usain BOLT,21-Aug-86,JAM,1f1,,"Icahn Stadium, New York, NY (USA)",31-May-08,1305
10,9.72,0.2,Asafa POWELL,23-Nov-82,JAM,1f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",2-Sep-08,1305
10,9.72,2.1,Asafa POWELL,23-Nov-82,JAM,1,,"Bislett Stadion, Oslo (NOR)",4-Jun-10,1293
13,9.74,1.7,Asafa POWELL,23-Nov-82,JAM,1h2,,"Stadio Guidobaldi, Rieti (ITA)",9-Sep-07,1298
13,9.74,5,Richard THOMPSON,7-Jun-85,TTO,1f1,,"Clermont, FL (USA)",31-May-14,1268
13,9.74,0.9,Justin GATLIN,10-Feb-82,USA,1,,"Suhaim bin Hamad Stadium, Doha (QAT)",15-May-15,1298
13,9.74,2.9,Andre DE GRASSE,10-Nov-94,CAN,1,,"Hayward Field, Eugene, OR (USA)",21-Aug-21,1281
17,9.75,3.4,Tyson GAY,9-Aug-82,USA,1h1,,"Eugene, OR (USA)",25-Jun-09,1274
17,9.75,2.6,Asafa POWELL,23-Nov-82,JAM,1h2,,"Suhaim bin Hamad Stadium, Doha (QAT)",14-May-10,1279
17,9.75,1.1,Yohan BLAKE,26-Dec-89,JAM,1,,Kingston (JAM),29-Jun-12,1294
17,9.75,1.5,Yohan BLAKE,26-Dec-89,JAM,2,,"Olympic Stadium, London (GBR)",5-Aug-12,1294
17,9.75,4.3,Darvis PATTON,4-Dec-77,USA,1f2,,"Austin, TX (USA)",30-Mar-13,1269
17,9.75,0.9,Justin GATLIN,10-Feb-82,USA,1f1,,"Stadio Olimpico, Roma (ITA)",4-Jun-15,1294
17,9.75,2.7,Andre DE GRASSE,10-Nov-94,CAN,1,,"Eugene, OR (USA)",12-Jun-15,1278
17,9.75,1.4,Justin GATLIN,10-Feb-82,USA,1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",9-Jul-15,1294
17,9.75,2.1,Trayvon BROMELL,10-Jul-95,USA,1f1,,"University of North Florda Jax Track at Hodges Stadium, Jacksonville, FL (USA)",30-Apr-22,1282
26,9.76,6.1,Churandy MARTINA,3-Jul-84,AHO,1,,"El Paso, TX (USA)",13-May-06,1255
26,9.76,2.2,Tyson GAY,9-Aug-82,USA,1,,"Icahn Stadium, New York, NY (USA)",2-Jun-07,1278
26,9.76,1.8,Usain BOLT,21-Aug-86,JAM,1,,"National Stadium, Kingston (JAM)",3-May-08,1291
26,9.76,1.3,Usain BOLT,21-Aug-86,JAM,1,,"Boudewijnstadion, Bruxelles (BEL)",16-Sep-11,1291
26,9.76,-0.1,Usain BOLT,21-Aug-86,JAM,1,,"Stadio Olimpico, Roma (ITA)",31-May-12,1291
26,9.76,1.4,Yohan BLAKE,26-Dec-89,JAM,1,,"Letzigrund, Zürich (SUI)",30-Aug-12,1291
26,9.76,2.7,Justin GATLIN,10-Feb-82,USA,1,,"Hayward Field, Eugene, OR (USA)",31-May-14,1275
26,9.76,3.7,Trayvon BROMELL,10-Jul-95,USA,1sf1,,"Hayward Field, Eugene, OR (USA)",26-Jun-15,1269
26,9.76,0.6,Christian COLEMAN,6-Mar-96,USA,1,,"Khalifa International Stadium, Doha (QAT)",28-Sep-19,1291
26,9.76,1.2,Trayvon BROMELL,10-Jul-95,USA,1,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",18-Sep-21,1291
26,9.76,1.4,Fred KERLEY,7-May-95,USA,1sf1,,"Hayward Field, Eugene, OR (USA)",24-Jun-22,1291
37,9.77,1.6,Asafa POWELL,23-Nov-82,JAM,1,,"Olympic Stadium, Athina (GRE)",14-Jun-05,1287
37,9.77,1.5,Asafa POWELL,23-Nov-82,JAM,1,,"International Stadium, Gateshead (GBR)",11-Jun-06,1287
37,9.77,1,Asafa POWELL,23-Nov-82,JAM,1f1,,Zürich (SUI),18-Aug-06,1287
37,9.77,1.6,Tyson GAY,9-Aug-82,USA,1qf1,,"Eugene, OR (USA)",28-Jun-08,1287
37,9.77,-1.3,Usain BOLT,21-Aug-86,JAM,1,,"Boudewijnstadion, Bruxelles (BEL)",5-Sep-08,1294
37,9.77,0.9,Asafa POWELL,23-Nov-82,JAM,1h1,,Rieti (ITA),7-Sep-08,1287
37,9.77,2.1,Usain BOLT,21-Aug-86,JAM,1f1,,Ostrava (CZE),17-Jun-09,1275
37,9.77,0.4,Tyson GAY,9-Aug-82,USA,1,,"Stadio Olimpico, Roma (ITA)",10-Jul-09,1287
37,9.77,-0.3,Usain BOLT,21-Aug-86,JAM,1,,"Luzhniki Stadion, Moskva (RUS)",11-Aug-13,1288
37,9.77,4.2,Trayvon BROMELL,10-Jul-95,USA,1,,"Lubbock, TX (USA)",18-May-14,1262
37,9.77,0.6,Justin GATLIN,10-Feb-82,USA,1,,"Boudewijnstadion, Bruxelles (BEL)",5-Sep-14,1287
37,9.77,0.9,Justin GATLIN,10-Feb-82,USA,1sf2,,"National Stadium, Beijing (CHN)",23-Aug-15,1287
37,9.77,1.5,Trayvon BROMELL,10-Jul-95,USA,1f2,,"Ansin Sports Complex, Miramar, FL (USA)",5-Jun-21,1287
37,9.77,1.2,Ferdinand OMANYALA,2-Jan-96,KEN,2,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",18-Sep-21,1287
37,9.77,1.8,Fred KERLEY,7-May-95,USA,1,,"Hayward Field, Eugene, OR (USA)",24-Jun-22,1287
37,9.77,0.9,Kishane THOMPSON,17-Jul-01,JAM,1,,"National Stadium, Kingston (JAM)",28-Jun-24,1287
53,9.78,5.2,Carl LEWIS,1-Jul-61,USA,1,,"Indianapolis, IN (USA)",16-Jul-88,1252
53,9.78,3.7,Maurice GREENE,23-Jul-74,USA,1,,"Palo Alto, CA (USA)",31-May-04,1261
53,9.78,0,Asafa POWELL,23-Nov-82,JAM,1,,"Stadio Guidobaldi, Rieti (ITA)",9-Sep-07,1283
53,9.78,-0.4,Tyson GAY,9-Aug-82,USA,1,,"Crystal Palace, London (GBR)",13-Aug-10,1285
53,9.78,0.9,Nesta CARTER,11-Oct-85,JAM,1,,"Stadio Guidobaldi, Rieti (ITA)",29-Aug-10,1283
53,9.78,1,Asafa POWELL,23-Nov-82,JAM,1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",30-Jun-11,1283
53,9.78,-0.3,Justin GATLIN,10-Feb-82,USA,1,,"Stade Louis II, Monaco (MON)",17-Jul-15,1284
53,9.78,2.4,Ronnie BAKER,15-Oct-93,USA,1,,"Hayward Field, Eugene, OR (USA)",26-May-18,1269
53,9.78,2.9,Fred KERLEY,7-May-95,USA,2,,"Hayward Field, Eugene, OR (USA)",21-Aug-21,1266
53,9.78,2.3,Ferdinand OMANYALA,2-Jan-96,KEN,1f1,,"National Stadium, Gaborone (BOT)",29-Apr-23,1270
53,9.78,4.4,Christian COLEMAN,6-Mar-96,USA,1f1,,"Flora Duffy Stadium, Devonshire (BER)",21-May-23,1257
64,9.79,5.3,Andre CASON,20-Jan-69,USA,1h4,,"Eugene, OR (USA)",16-Jun-93,1249
64,9.79,4.5,Andre CASON,20-Jan-69,USA,1sf1,,"Eugene, OR (USA)",16-Jun-93,1253
64,9.79,2.9,Maurice GREENE,23-Jul-74,USA,1,,"Eugene, OR (USA)",31-May-98,1263
64,9.79,0.1,Maurice GREENE,23-Jul-74,USA,1f3,,Athina (GRE),16-Jun-99,1280
64,9.79,2.5,Tyson GAY,9-Aug-82,USA,1,,"Carson, CA (USA)",20-May-07,1265
64,9.79,-0.2,Usain BOLT,21-Aug-86,JAM,1,,"Stade de France, Paris-St-Denis (FRA)",17-Jul-09,1281
64,9.79,2.6,Tyson GAY,9-Aug-82,USA,1f1,,Stockholm (SWE),31-Jul-09,1265
64,9.79,0.1,Tyson GAY,9-Aug-82,USA,1,,"Boudewijnstadion, Bruxelles (BEL)",27-Aug-10,1280
64,9.79,1.1,Tyson GAY,9-Aug-82,USA,1h1,,"Clermont, FL (USA)",4-Jun-11,1280
64,9.79,0.6,Usain BOLT,21-Aug-86,JAM,1,,"Bislett Stadion, Oslo (NOR)",7-Jun-12,1280
64,9.79,1.5,Justin GATLIN,10-Feb-82,USA,3,,"Olympic Stadium, London (GBR)",5-Aug-12,1280
64,9.79,3,Tyson GAY,9-Aug-82,USA,1sf2,,"Hayward Field, Eugene, OR (USA)",26-Jun-15,1262
64,9.79,-0.5,Usain BOLT,21-Aug-86,JAM,1,,"National Stadium, Beijing (CHN)",23-Aug-15,1283
64,9.79,-0.3,Christian COLEMAN,6-Mar-96,USA,1,,"Boudewijnstadion, Bruxelles (BEL)",31-Aug-18,1281
64,9.79,3,Favour Oghene Tejiri ASHE,28-Apr-02,NGR,1f1,,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",30-Apr-22,1262
64,9.79,0.1,Fred KERLEY,7-May-95,USA,1h2,,"Hayward Field, Eugene, OR (USA)",15-Jul-22,1280
64,9.79,1.5,Ferdinand OMANYALA,2-Jan-96,KEN,1,,"Nyayo National Stadium, Nairobi (KEN)",15-Jun-24,1280
81,9.8,4.3,Carl LEWIS,1-Jul-61,USA,1qf2,,"National Stadium, Tokyo (JPN)",24-Aug-91,1251
81,9.8,0.2,Maurice GREENE,23-Jul-74,USA,1,,"La Cartuja, Sevilla (ESP)",22-Aug-99,1276
81,9.8,4.1,Walter DIX,31-Jan-86,USA,2,,"Eugene, OR (USA)",29-Jun-08,1252
81,9.8,2.2,Yohan BLAKE,26-Dec-89,JAM,1,,"National Stadium, Kingston (JAM)",7-May-11,1263
81,9.8,1.3,Steve MULLINGS,29-Nov-82,JAM,1,,"Hayward Field, Eugene, OR (USA)",4-Jun-11,1276
81,9.8,1.8,Justin GATLIN,10-Feb-82,USA,1,,"Hayward Field, Eugene, OR (USA)",24-Jun-12,1276
81,9.8,0.6,Usain BOLT,21-Aug-86,JAM,1,,"Boudewijnstadion, Bruxelles (BEL)",6-Sep-13,1276
81,9.8,2.7,Michael RODGERS,24-Apr-85,USA,2,,"Hayward Field, Eugene, OR (USA)",31-May-14,1260
81,9.8,2.4,Michael RODGERS,24-Apr-85,USA,1sf1,,"Sacramento, CA (USA)",27-Jun-14,1262
81,9.8,0.1,Justin GATLIN,10-Feb-82,USA,1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",3-Jul-14,1276
81,9.8,-0.5,Justin GATLIN,10-Feb-82,USA,2,,"National Stadium, Beijing (CHN)",23-Aug-15,1279
81,9.8,1.6,Justin GATLIN,10-Feb-82,USA,1,,"Hayward Field, Eugene, OR (USA)",3-Jul-16,1276
81,9.8,3.2,Terrance LAIRD,12-Oct-98,USA,1,,"Cushing Stadium, College Station, TX (USA)",15-May-21,1257
81,9.8,0.8,Trayvon BROMELL,10-Jul-95,USA,1,,"Hayward Field, Eugene, OR (USA)",20-Jun-21,1276
81,9.8,0.1,Lamont Marcell JACOBS,26-Sep-94,ITA,1,,"National Stadium, Tokyo (JPN)",1-Aug-21,1276
81,9.8,2.9,Marvin BRACY-WILLIAMS,15-Dec-93,USA,1f1,,"Montverde Academy, Montverde, FL (USA)",4-Jun-22,1259
81,9.8,4.4,Noah LYLES,18-Jul-97,USA,2f1,,"Flora Duffy Stadium, Devonshire (BER)",21-May-23,1250
81,9.8,3,Noah LYLES,18-Jul-97,USA,1sf2,,"Hayward Field, Eugene, OR (USA)",23-Jun-24,1258
99,9.81,0,Usain BOLT,21-Aug-86,JAM,1,,"Letzigrund, Zürich (SUI)",28-Aug-09,1273
99,9.81,2.3,Asafa POWELL,23-Nov-82,JAM,1,,"Suhaim bin Hamad Stadium, Doha (QAT)",14-May-10,1260
99,9.81,4.1,Justin GATLIN,10-Feb-82,USA,1,,Albi (FRA),15-Aug-12,1249
99,9.81,1.3,Asafa POWELL,23-Nov-82,JAM,1,,"Stade de France, Paris-St-Denis (FRA)",4-Jul-15,1273
99,9.81,0.2,Usain BOLT,21-Aug-86,JAM,1,,"Estádio Olímpico, Rio de Janeiro (BRA)",14-Aug-16,1273
99,9.81,-0.1,Christian COLEMAN,6-Mar-96,USA,1,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30-Jun-19,1273
99,9.81,1.5,Trayvon BROMELL,10-Jul-95,USA,1sf2,,"Hayward Field, Eugene, OR (USA)",24-Jun-22,1273
106,9.82,-0.2,Maurice GREENE,23-Jul-74,USA,1,,"Commonwealth Stadium, Edmonton (CAN)",5-Aug-01,1270
106,9.82,0,Asafa POWELL,23-Nov-82,JAM,1f1,,"Stade Louis II, Monaco (MON)",29-Jul-08,1269
106,9.82,1.4,Asafa POWELL,23-Nov-82,JAM,1,,Rieti (ITA),7-Sep-08,1269
106,9.82,1.4,Asafa POWELL,23-Nov-82,JAM,1,,Szczecin (POL),15-Sep-09,1269
106,9.82,0.6,Asafa POWELL,23-Nov-82,JAM,1,,"Stadio Olimpico, Roma (ITA)",10-Jun-10,1269
106,9.82,0.5,Usain BOLT,21-Aug-86,JAM,1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",8-Jul-10,1269
106,9.82,0,Yohan BLAKE,26-Dec-89,JAM,1,,"Letzigrund, Zürich (SUI)",8-Sep-11,1269
106,9.82,0.1,Yohan BLAKE,26-Dec-89,JAM,1,,"Olympiastadion, Berlin (GER)",11-Sep-11,1269
106,9.82,1.8,Usain BOLT,21-Aug-86,JAM,1f1,,"National Stadium, Kingston (JAM)",5-May-12,1269
106,9.82,0.7,Justin GATLIN,10-Feb-82,USA,1sf1,,"Olympic Stadium, London (GBR)",5-Aug-12,1269
106,9.82,1.7,Richard THOMPSON,7-Jun-85,TTO,1f2,,Port-of-Spain (TTO),21-Jun-14,1269
106,9.82,-0.1,Justin GATLIN,10-Feb-82,USA,1,,Linz (AUT),14-Jul-14,1269
106,9.82,3,Isiah YOUNG,5-Jan-90,USA,1f1,,"Clermont, FL (USA)",16-May-15,1251
106,9.82,4.9,Remontay MCCLAIN,21-Sep-92,USA,1h3,,"Hayward Field, Eugene, OR (USA)",25-Jun-15,1240
106,9.82,1.3,Christian COLEMAN,6-Mar-96,USA,1sf1,,"Eugene, OR (USA)",7-Jun-17,1269
106,9.82,2.8,Akani SIMBINE,21-Sep-93,RSA,1sf1,,"Bestmed Tuks Stadium, Pretoria (RSA)",15-Apr-21,1253
106,9.82,2.9,Ronnie BAKER,15-Oct-93,USA,3,,"Hayward Field, Eugene, OR (USA)",21-Aug-21,1252
106,9.82,0.9,Oblique SEVILLE,16-Mar-01,JAM,1,,"National Stadium, Kingston (JAM)",1-Jun-24,1269
106,9.82,3,Kenneth BEDNAREK,14-Oct-98,USA,2sf2,,"Hayward Field, Eugene, OR (USA)",23-Jun-24,1251
