Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1,9.58,+0.9,Usain BOLT,21 AUG 1986,JAM,1,,"Olympiastadion, Berlin (GER)",16 AUG 2009,1356
2,9.69,+2.0,Tyson GAY,09 AUG 1982,USA,1,,Shanghai (CHN),20 SEP 2009,1316
2,9.69,-0.1,Yohan BLAKE,26 DEC 1989,JAM,1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",23 AUG 2012,1316
4,9.72,+0.2,Asafa POWELL,23 NOV 1982,JAM,1f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",02 SEP 2008,1305
5,9.74,+0.9,Justin GATLIN,10 FEB 1982,USA,1,,"Suhaim bin Hamad Stadium, Doha (QAT)",15 MAY 2015,1298
6,9.76,+0.6,Christian COLEMAN,06 MAR 1996,USA,1,,"Khalifa International Stadium, Doha (QAT)",28 SEP 2019,1291
6,9.76,+1.2,Trayvon BROMELL,10 JUL 1995,USA,1,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",18 SEP 2021,1291
6,9.76,+1.4,Fred KERLEY,07 MAY 1995,USA,1sf1,,"Hayward Field, Eugene, OR (USA)",24 JUN 2022,1291
9,9.77,+1.2,Ferdinand OMANYALA,02 JAN 1996,KEN,2,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",18 SEP 2021,1287
9,9.77,+0.9,Kishane THOMPSON,17 JUL 2001,JAM,1,,"National Stadium, Kingston (JAM)",28 JUN 2024,1287
11,9.78,+0.9,Nesta CARTER,11 OCT 1985,JAM,1,,"Stadio Guidobaldi, Rieti (ITA)",29 AUG 2010,1283
12,9.80,+0.1,Lamont Marcell JACOBS,26 SEP 1994,ITA,1,,"National Stadium, Tokyo (JPN)",01 AUG 2021,1276
13,9.82,+1.7,Richard THOMPSON,07 JUN 1985,TTO,1f2,,Port-of-Spain (TTO),21 JUN 2014,1269
14,9.83,+0.9,Bingtian SU,29 AUG 1989,CHN,1sf3,,"National Stadium, Tokyo (JPN)",01 AUG 2021,1266
14,9.83,+1.3,Zharnel HUGHES,13 JUL 1995,GBR,1,,"Icahn Stadium, New York, NY (USA)",24 JUN 2023,1266
16,9.84,+0.7,Donovan BAILEY,16 DEC 1967,CAN,1,,"Olympic Stadium, Atlanta, GA (USA)",27 JUL 1996,1262
16,9.84,+0.2,Bruny SURIN,12 JUL 1967,CAN,2,,"La Cartuja, Sevilla (ESP)",22 AUG 1999,1262
16,9.84,+1.2,Akani SIMBINE,21 SEP 1993,RSA,1,,"Bregyó Athletic Center, Székesfehérvár (HUN)",06 JUL 2021,1262
19,9.85,+1.7,Olusoji Adetokunbo FASUBA,09 JUL 1984,NGR,1,,Doha (QAT),12 MAY 2006,1259
20,9.86,-0.4,Frank FREDERICKS,02 OCT 1967,NAM,1f1,,Lausanne (SUI),03 JUL 1996,1257
20,9.86,+1.8,Ato BOLDON,30 DEC 1973,TTO,1,,"Walnut, CA (USA)",19 APR 1998,1255
20,9.86,+0.6,Francis OBIKWELU,22 NOV 1978,POR,2,,"Olympic Stadium, Athina (GRE)",22 AUG 2004,1255
20,9.86,+1.4,Keston BLEDMAN,08 MAR 1988,TTO,1f2,,Port-of-Spain (TTO),23 JUN 2012,1255
20,9.86,+1.3,Jimmy VICAUT,27 FEB 1992,FRA,2,,"Stade de France, Paris-St-Denis (FRA)",04 JUL 2015,1255
20,9.86,+0.8,Divine ODUDURU,07 OCT 1996,NGR,1,,"Austin, TX (USA)",07 JUN 2019,1255
26,9.87,+0.3,Linford CHRISTIE,02 APR 1960,GBR,1,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",15 AUG 1993,1252
26,9.87,-0.2,Obadele THOMPSON,30 MAR 1976,BAR,1,,"SGJ, Johannesburg (RSA)",11 SEP 1998,1253
28,9.88,0.0,Letsile TEBOGO,07 JUN 2003,BOT,2,,"Nemzeti Atlétikai Központ, Budapest (HUN)",20 AUG 2023,1248
29,9.89,+1.3,Ngonidzashe MAKUSHA,11 MAR 1987,ZIM,1,,"Des Moines, IA (USA)",10 JUN 2011,1245
29,9.89,+0.1,Andre DE GRASSE,10 NOV 1994,CAN,3,,"National Stadium, Tokyo (JPN)",01 AUG 2021,1245
29,9.89,+0.8,Issamade ASINGA,29 DEC 2004,SUR,1,,"COTP Stadium, São Paulo (BRA)",28 JUL 2023,1245
32,9.90,+2.0,Benjamin AZAMATI,14 JAN 1998,GHA,1h1,,"Mike A. Myers Stadium, Austin, TX (USA)",25 MAR 2022,1241
32,9.90,+1.8,Godson Oke OGHENEBRUME,27 MAY 2003,NGR,2,,"Mike A. Myers Stadium, Austin, TX (USA)",09 JUN 2023,1241
32,9.90,0.0,Shainer REGINFO MONTOYA,08 APR 2002,CUB,1f1,,"Helmántico, Salamanca (ESP)",01 JUN 2024,1241
35,9.91,-0.5,Derrick ATKINS,05 JAN 1984,BAH,2,,"Yanmar Stadium Nagai, Osaka (JPN)",26 AUG 2007,1241
35,9.91,-0.2,Daniel BAILEY,09 SEP 1986,ANT,2,,"Stade de France, Paris-St-Denis (FRA)",17 JUL 2009,1239
35,9.91,+0.7,Churandy MARTINA,03 JUL 1984,NED,2sf1,,"Olympic Stadium, London (GBR)",05 AUG 2012,1238
35,9.91,+1.1,James DASAOLU,05 SEP 1987,GBR,1sf2,,Birmingham (GBR),13 JUL 2013,1238
35,9.91,+1.8,Femi OGUNODE,15 MAY 1991,QAT,1,,Wuhan (CHN),04 JUN 2015,1238
