Competitor,Rank,Mark,WIND,DOB,Nat,Pos,Venue,Date,Results Score,Net Result,AGE,AGE_AT_EVENT,current_match_ranking,match_year
Aaron BROWN,8587,10.13,-0.2,27-May-92,CAN,1,"Alexander Stadium, Birmingham (GBR)",21-May-22,1163,10.11,32,29,1,2022
Aaron BROWN,10382,10.15,0.2,27-May-92,CAN,5,"Bislett Stadion, Oslo (NOR)",15-Jun-17,1155,10.17,32,25,5,2017
Aaron BROWN,3690,10.05,1.9,27-May-92,CAN,2h1,"Eugene, OR (USA)",5-Jun-13,1189,10.24,32,21,2,2013
Aaron BROWN,8587,10.13,1.5,27-May-92,CAN,2,Edmonton (CAN),3-Jul-15,1162,10.28,32,23,2,2015
Aaron BROWN,31544,10.29,2.3,27-May-92,CAN,1h3,"Miramar, FL (USA)",22-Jul-11,1095,10.52,32,19,1,2011
Aaron BROWN,4132,10.06,-0.1,27-May-92,CAN,3sf3,"Hayward Field, Eugene, OR (USA)",16-Jul-22,1186,10.05,32,30,3,2022
Aaron BROWN,5146,10.08,1.6,27-May-92,CAN,2,"Los Angeles, CA (USA)",12-May-13,1179,10.24,32,20,2,2013
Aaron BROWN,7744,10.12,0,27-May-92,CAN,1h1,"Clermont, FL (USA)",28-Apr-18,1165,10.12,32,25,1,2018
Aaron BROWN,5722,10.09,3.1,27-May-92,CAN,1f2,"Austin, TX (USA)",31-Mar-12,1158,10.4,32,19,1,2012
Aaron BROWN,6354,10.1,2.2,27-May-92,CAN,2h1,"Eugene, OR (USA)",11-Jun-14,1159,10.32,32,22,2,2014
Aaron BROWN,12446,10.17,0.7,27-May-92,CAN,5sf2,"Hampden Park, Glasgow (GBR)",28-Jul-14,1148,10.24,32,22,5,2014
Aaron BROWN,12446,10.17,1.5,27-May-92,CAN,5,"Sports Park Mladost, Zagreb (CRO)",6-Sep-16,1148,10.32,32,24,5,2016
Aaron BROWN,25590,10.26,1,27-May-92,CAN,5,Calgary (CAN),29-Jun-12,1118,10.36,32,20,5,2012
Aaron BROWN,8587,10.13,0.4,27-May-92,CAN,2f1,St. George's (GRN),13-Apr-19,1162,10.17,32,26,2,2019
Aaron BROWN,16027,10.2,0.6,27-May-92,CAN,3f1,"Montverde Academy, Montverde, FL (USA)",4-Jul-20,1138,10.26,32,28,3,2020
Aaron BROWN,6354,10.1,1.4,27-May-92,CAN,1h3,Edmonton (CAN),3-Jul-15,1172,10.24,32,23,1,2015
Aaron BROWN,16027,10.2,1.6,27-May-92,CAN,3h2,"Montverde Academy, Montverde, FL (USA)",10-Aug-20,1138,10.36,32,28,3,2020
Aaron BROWN,6354,10.1,0.6,27-May-92,CAN,4f1,"Gainesville, FL (USA)",22-Apr-16,1172,10.16,32,23,4,2016
Aaron BROWN,22081,10.24,0.5,27-May-92,CAN,1,"Los Angeles, CA (USA)",27-Apr-13,1125,10.29,32,20,1,2013
Aaron BROWN,968,9.95,3.1,27-May-92,CAN,1f1,"Baton Rouge, LA (USA)",30-Apr-16,1206,10.26,32,23,1,2016
Aaron BROWN,31544,10.29,0.1,27-May-92,CAN,8h1,"Olympic Stadium, London (GBR)",22-Jul-16,1108,10.3,32,24,8,2016
Aaron BROWN,2845,10.03,2.1,27-May-92,CAN,2h6,"National Stadium, Beijing (CHN)",22-Aug-15,1184,10.24,32,23,2,2015
Aaron BROWN,17420,10.21,0.7,27-May-92,CAN,3f2,Weinheim (GER),27-Jul-12,1135,10.28,32,20,3,2012
Aaron BROWN,17420,10.21,0.4,27-May-92,CAN,5,"Olympiastadion, Berlin (GER)",3-Sep-16,1135,10.25,32,24,5,2016
Aaron BROWN,7744,10.12,0.8,27-May-92,CAN,1sf1,"Fayetteville, AR (USA)",30-May-14,1165,10.2,32,22,1,2014
Aaron BROWN,4132,10.06,1.1,27-May-92,CAN,3h5,"Hayward Field, Eugene, OR (USA)",15-Jul-22,1186,10.17,32,30,3,2022
Aaron BROWN,4132,10.06,-0.3,27-May-92,CAN,3,"Letzigrund, Z¨¹rich (SUI)",8-Sep-22,1187,10.03,32,30,3,2022
Aaron BROWN,4132,10.06,2.3,27-May-92,CAN,4f1,"National Stadium, Gaborone (BOT)",29-Apr-23,1173,10.29,32,30,4,2023
Aaron BROWN,11386,10.16,4.3,27-May-92,CAN,3sf2,"Austin, TX (USA)",25-May-12,1127,10.59,32,19,3,2012
Aaron BROWN,7017,10.11,2,27-May-92,CAN,1h6,"Austin, TX (USA)",23-May-13,1169,10.31,32,20,1,2013
Aaron BROWN,7744,10.12,0.4,27-May-92,CAN,1,"Complexe Sportif Claude-Robillard, Montr¨¦al (CAN)",25-Jun-21,1165,10.16,32,29,1,2021
Aaron BROWN,17420,10.21,-0.4,27-May-92,CAN,1,Burnaby (CAN),26-Jun-18,1137,10.17,32,26,1,2018
Aaron BROWN,23770,10.25,0.2,27-May-92,CAN,1,Moncton (CAN),22-Jun-13,1122,10.27,32,21,1,2013
Aaron BROWN,5722,10.09,3,27-May-92,CAN,2,"Flora Duffy Stadium, Devonshire (BER)",28-Apr-24,1158,10.39,32,31,2,2024
Aaron BROWN,23770,10.25,-0.5,27-May-92,CAN,1f1,"Austin, TX (USA)",24-May-13,1125,10.2,32,20,1,2013
Aaron BROWN,5722,10.09,1.3,27-May-92,CAN,3f1,"National Training Center, Clermont, FL (USA)",1-May-22,1176,10.22,32,29,3,2022
Aaron BROWN,23770,10.25,1,27-May-92,CAN,1f1,"Los Angeles, CA (USA)",24-Mar-12,1122,10.35,32,19,1,2012
Aaron BROWN,11386,10.16,-0.1,27-May-92,CAN,1,"McLeod Stadium, Langley (CAN)",25-Jun-22,1152,10.15,32,30,1,2022
Aaron BROWN,23770,10.25,2.4,27-May-92,CAN,3,"Miramar, FL (USA)",22-Jul-11,1108,10.49,32,19,3,2011
Aaron BROWN,7017,10.11,3.1,27-May-92,CAN,2h1,"Hilmer Lodge Stadium, Walnut, CA (USA)",16-Apr-22,1151,10.42,32,29,2,2022
Aaron BROWN,33876,10.3,0.7,27-May-92,CAN,4f2,St. George's (GRN),8-Apr-17,1105,10.37,32,24,4,2017
Aaron BROWN,11386,10.16,-0.3,27-May-92,CAN,2h1,"Khalifa International Stadium, Doha (QAT)",27-Sep-19,1153,10.13,32,27,2,2019
Aaron BROWN,7744,10.12,-1.6,27-May-92,CAN,1f2,"Stadio Colbachini, Padova (ITA)",4-Sep-22,1174,9.96,32,30,1,2022
