Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1,9.80,+1.6,Justin GATLIN,10 FEB 1982,USA,1,,"Hayward Field, Eugene, OR (USA)",03 JUL 2016,1276
2,9.81,+0.2,Usain BOLT,21 AUG 1986,JAM,1,,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016,1273
3,9.83,+1.7,Justin GATLIN,10 FEB 1982,USA,1sf1,,"Hayward Field, Eugene, OR (USA)",03 JUL 2016,1266
4,9.84,+1.6,Trayvon BROMELL,10 JUL 1995,USA,2,,"Hayward Field, Eugene, OR (USA)",03 JUL 2016,1262
5,9.86,+1.8,Jimmy VICAUT,27 FEB 1992,FRA,1,,Montreuil-sous-Bois (FRA),07 JUN 2016,1255
5,9.86,+2.0,Trayvon BROMELL,10 JUL 1995,USA,1sf2,,"Hayward Field, Eugene, OR (USA)",03 JUL 2016,1255
5,9.86,+0.2,Usain BOLT,21 AUG 1986,JAM,1sf2,,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016,1255
8,9.88,+1.0,Usain BOLT,21 AUG 1986,JAM,1f1,,Kingston (JAM),11 JUN 2016,1248
8,9.88,+1.9,Jimmy VICAUT,27 FEB 1992,FRA,1,,Angers (FRA),25 JUN 2016,1248
10,9.89,+1.9,Akani SIMBINE,21 SEP 1993,RSA,1,,"Bregyó Athletic Center, Székesfehérvár (HUN)",18 JUL 2016,1245
10,9.89,+0.2,Justin GATLIN,10 FEB 1982,USA,2,,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016,1245
12,9.91,+0.6,Femi OGUNODE,15 MAY 1991,QAT,1f1,,"Gainesville, FL (USA)",22 APR 2016,1238
12,9.91,+0.2,Andre DE GRASSE,10 NOV 1994,CAN,3,,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016,1238
14,9.92,+0.9,Jak Ali HARVEY,04 MAY 1989,TUR,1f2,,Erzurum (TUR),12 JUN 2016,1234
14,9.92,+1.9,Asafa POWELL,23 NOV 1982,JAM,2,,"Bregyó Athletic Center, Székesfehérvár (HUN)",18 JUL 2016,1234
14,9.92,+0.2,Andre DE GRASSE,10 NOV 1994,CAN,2sf2,,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016,1234
17,9.93,+1.9,Kim COLLINS,05 APR 1976,SKN,1f2,,Bottrop (GER),29 MAY 2016,1231
17,9.93,+1.0,Justin GATLIN,10 FEB 1982,USA,1f1,,"Stadio Olimpico, Roma (ITA)",02 JUN 2016,1231
17,9.93,+0.2,Yohan BLAKE,26 DEC 1989,JAM,4,,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016,1231
20,9.94,0.0,Justin GATLIN,10 FEB 1982,USA,1,,"Shanghai Stadium, Shanghai (CHN)",14 MAY 2016,1227
20,9.94,-0.1,Justin GATLIN,10 FEB 1982,USA,1,,"National Stadium, Beijing (CHN)",18 MAY 2016,1227
20,9.94,+1.0,Ameer WEBB,19 MAR 1991,USA,2f1,,"Stadio Olimpico, Roma (ITA)",02 JUN 2016,1227
20,9.94,+1.0,Nickel ASHMEADE,07 APR 1990,JAM,2f1,,Kingston (JAM),11 JUN 2016,1227
20,9.94,+1.0,Yohan BLAKE,26 DEC 1989,JAM,3f1,,Kingston (JAM),11 JUN 2016,1227
20,9.94,+1.8,Marvin BRACY,15 DEC 1993,USA,1f1,,"Montverde, FL (USA)",11 JUN 2016,1227
20,9.94,+1.7,Jimmy VICAUT,27 FEB 1992,FRA,1h1,,Angers (FRA),25 JUN 2016,1227
20,9.94,+1.2,Trayvon BROMELL,10 JUL 1995,USA,1h3,,"Hayward Field, Eugene, OR (USA)",02 JUL 2016,1227
20,9.94,+0.2,Akani SIMBINE,21 SEP 1993,RSA,5,,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016,1227
20,9.94,0.0,Justin GATLIN,10 FEB 1982,USA,1sf3,,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016,1227
