Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1,9.98,+1.6,Carl LEWIS,01 JUL 1961,USA,1,,"Modesto, CA (USA)",11 MAY 1985,1213
2,10.00,-0.4,Ben JOHNSON,30 DEC 1961,CAN,1,,"Bruce Stadium, Canberra (AUS)",04 OCT 1985,1208
3,10.02,+1.2,Ronald DESRUELLES,14 FEB 1955,BEL,1,,Naimette-Xhovémont (BEL),11 MAY 1985,1199
4,10.04,+1.4,Ben JOHNSON,30 DEC 1961,CAN,1,,San Juan (PUR),20 SEP 1985,1193
5,10.05,0.0,Carl LEWIS,01 JUL 1961,USA,1,,"Houston, TX (USA)",22 MAR 1985,1189
5,10.05,+1.8,Harvey GLANCE,28 MAR 1957,USA,1,,"Tampa, FL (USA)",30 MAR 1985,1189
7,10.06,+1.9,Frank EMMELMANN,15 SEP 1961,GDR,1,,Berlin (GDR),22 SEP 1985,1186
8,10.08,+1.6,Terry SCOTT,23 JUN 1964,USA,1h3,,"Austin, TX (USA)",30 MAY 1985,1179
9,10.09,0.0,Terry SCOTT,23 JUN 1964,USA,1,,"Knoxville, TN (USA)",11 MAY 1985,1176
10,10.10,+0.2,Andres SIMÓN,15 SEP 1961,CUB,1,,La Habana (CUB),30 MAR 1985,1172
10,10.10,+1.6,Darwin COOK,16 JUL 1962,USA,2,,"Modesto, CA (USA)",11 MAY 1985,1172
10,10.10,+0.4,Darwin COOK,16 JUL 1962,USA,1h1,,"Tucson, AZ (USA)",17 MAY 1985,1172
10,10.10,+0.2,Darwin COOK,16 JUL 1962,USA,1,,"Tucson, AZ (USA)",18 MAY 1985,1172
10,10.10,+1.8,Calvin SMITH,08 JAN 1961,USA,1h1,,"Letzigrund, Zürich (SUI)",21 AUG 1985,1172
15,10.11,0.0,Kirk BAPTISTE,20 JUN 1963,USA,1,,"Indianapolis, IN (USA)",15 JUN 1985,1169
15,10.11,+1.6,Ben JOHNSON,30 DEC 1961,CAN,1h2,,"Letzigrund, Zürich (SUI)",21 AUG 1985,1169
17,10.12,+1.4,Mike MORRIS,07 MAY 1963,USA,1h2,,"Austin, TX (USA)",31 MAY 1985,1165
17,10.12,+1.9,Carl LEWIS,01 JUL 1961,USA,1,,Tokyo (JPN),21 SEP 1985,1165
17,10.12,-0.4,Chidi IMOH,27 AUG 1963,NGR,2,,"Bruce Stadium, Canberra (AUS)",04 OCT 1985,1167
20,10.13,+0.9,Osvaldo LARA,13 JUL 1955,CUB,1,,Bydgoszcz (POL),20 AUG 1985,1162
21,10.14,0.0,Darwin COOK,16 JUL 1962,USA,1,,"Westwood, CA (USA)",04 MAY 1985,1159
21,10.14,+0.8,Kirk BAPTISTE,20 JUN 1963,USA,1,,"Fayetteville, AR (USA)",18 MAY 1985,1159
21,10.14,+0.6,Marian WORONIN,13 AUG 1956,POL,1,,Moskva (URS),17 AUG 1985,1159
24,10.15,+0.7,Harvey GLANCE,28 MAR 1957,USA,1,,"Athens, GA (USA)",23 MAR 1985,1155
24,10.15,+1.6,Harvey GLANCE,28 MAR 1957,USA,3,,"Modesto, CA (USA)",11 MAY 1985,1155
26,10.16,+1.6,Ben JOHNSON,30 DEC 1961,CAN,4,,"Modesto, CA (USA)",11 MAY 1985,1152
26,10.16,+1.9,Chidi IMOH,27 AUG 1963,NGR,1,,"Manhattan, KS (USA)",11 MAY 1985,1152
26,10.16,0.0,Nikolay YUSHMANOV,18 DEC 1961,URS,1,,Leningrad (URS),25 JUL 1985,1152
29,10.17,+1.2,Andres SIMÓN,15 SEP 1961,CUB,1,,La Habana (CUB),19 MAR 1985,1148
29,10.17,0.0,Kirk BAPTISTE,20 JUN 1963,USA,2,,"Houston, TX (USA)",22 MAR 1985,1148
29,10.17,+1.4,Lee MCNEILL,02 DEC 1964,USA,2h2,,"Austin, TX (USA)",30 MAY 1985,1148
29,10.17,-0.1,Lee MCNEILL,02 DEC 1964,USA,2,,"Indianapolis, IN (USA)",15 JUN 1985,1148
29,10.17,-0.4,Frank EMMELMANN,15 SEP 1961,GDR,3,,"Bruce Stadium, Canberra (AUS)",04 OCT 1985,1150
29,10.17,-0.4,Kirk BAPTISTE,20 JUN 1963,USA,4,,"Bruce Stadium, Canberra (AUS)",04 OCT 1985,1150
35,10.18,0.0,Roy MARTIN,25 DEC 1966,USA,1f2,,"Austin, TX (USA)",05 APR 1985,1145
35,10.18,+0.8,Roscoe TATUM,13 FEB 1966,USA,2,,"Fayetteville, AR (USA)",18 MAY 1985,1145
35,10.18,-0.1,Calvin SMITH,08 JAN 1961,USA,3,,"Indianapolis, IN (USA)",15 JUN 1985,1145
35,10.18,-0.6,Ben JOHNSON,30 DEC 1961,CAN,1,,"Letzigrund, Zürich (SUI)",21 AUG 1985,1148
35,10.18,,Andres SIMÓN,15 SEP 1961,CUB,1,,La Habana (CUB),13 SEP 1985,1145
40,10.19,+0.9,Sam GRADDY,10 FEB 1964,USA,1,,"Knoxville, TN (USA)",13 APR 1985,1142
40,10.19,-0.1,Terry SCOTT,23 JUN 1964,USA,4,,"Indianapolis, IN (USA)",15 JUN 1985,1142
40,10.19,-0.2,Kirk BAPTISTE,20 JUN 1963,USA,1h1,,"Indianapolis, IN (USA)",15 JUN 1985,1143
40,10.19,+0.8,Darwin COOK,16 JUL 1962,USA,1,,Lausanne (SUI),10 JUL 1985,1142
40,10.19,-0.6,Calvin SMITH,08 JAN 1961,USA,2,,"Letzigrund, Zürich (SUI)",21 AUG 1985,1145
40,10.19,0.0,Marian WORONIN,13 AUG 1956,POL,1,,Köln (GER),25 AUG 1985,1142
46,10.20,+1.4,Andrew SMITH,29 JAN 1964,JAM,3h2,,"Austin, TX (USA)",30 MAY 1985,1138
46,10.20,+1.4,Antoine RICHARD,08 SEP 1960,FRA,1,,Colombes (FRA),20 JUL 1985,1138
46,10.20,+1.4,Kirk BAPTISTE,20 JUN 1963,USA,1,,"Baton Rouge, LA (USA)",28 JUL 1985,1138
46,10.20,+0.4,Christian HAAS,22 AUG 1958,FRG,1,,Stuttgart (GER),02 AUG 1985,1138
46,10.20,-0.1,Marian WORONIN,13 AUG 1956,POL,1,,"Olympiastadion, Berlin (GER)",23 AUG 1985,1138
51,10.21,,Andres SIMÓN,15 SEP 1961,CUB,1,,La Habana (CUB),23 MAR 1985,1135
51,10.21,+2.0,Roy MARTIN,25 DEC 1966,USA,1,,"Dallas, TX (USA)",23 MAR 1985,1135
51,10.21,+1.8,Terry SCOTT,23 JUN 1964,USA,1,,"Knoxville, TN (USA)",03 MAY 1985,1135
51,10.21,+0.5,Kirk BAPTISTE,20 JUN 1963,USA,1h1,,"Fayetteville, AR (USA)",17 MAY 1985,1135
51,10.21,+0.8,Andrew SMITH,29 JAN 1964,JAM,3,,"Fayetteville, AR (USA)",18 MAY 1985,1135
51,10.21,+2.0,Dennis MITCHELL,20 FEB 1966,USA,1,,"Starkville, MS (USA)",18 MAY 1985,1135
51,10.21,-0.1,Mike MORRIS,07 MAY 1963,USA,5,,"Indianapolis, IN (USA)",15 JUN 1985,1135
51,10.21,-0.1,Joe DELOACH,05 JUN 1967,USA,6,,"Indianapolis, IN (USA)",15 JUN 1985,1135
51,10.21,+0.7,Ben JOHNSON,30 DEC 1961,CAN,1,,Fürth (GER),17 JUN 1985,1135
51,10.21,+1.4,Desai WILLIAMS,12 JUN 1959,CAN,2,,San Juan (PUR),20 SEP 1985,1135
61,10.22,+0.8,Leandro PENALVER,23 MAY 1961,CUB,1h3,,La Habana (CUB),19 MAR 1985,1132
61,10.22,+1.6,Dennis MITCHELL,20 FEB 1966,USA,2h3,,"Austin, TX (USA)",30 MAY 1985,1132
61,10.22,-0.2,Terry SCOTT,23 JUN 1964,USA,1h3,,"Indianapolis, IN (USA)",15 JUN 1985,1133
61,10.22,+1.1,Andres SIMÓN,15 SEP 1961,CUB,1,,Nassau (BAH),25 JUL 1985,1132
61,10.22,+1.8,Chidi IMOH,27 AUG 1963,NGR,1,,Cairo (EGY),16 AUG 1985,1132
