Competitor,ID
Aaron BROWN,0
Akani SIMBINE,1
Andre DE GRASSE,2
Arthur CISS¨¦,3
Asafa POWELL,4
Ato BOLDON,5
Aziz ZAKARI,6
Bernard WILLIAMS,7
Brian LEWIS,8
Bruny SURIN,9
Calvin SMITH,10
Carl LEWIS,11
Chijindu UJAH,12
Christophe LEMAITRE,13
Churandy MARTINA,14
Darvis PATTON,15
Deji ALIU,16
Dennis MITCHELL,17
Donovan BAILEY,18
Dwain CHAMBERS,19
Eric NKANSAH,20
Francis OBIKWELU,21
Frank FREDERICKS,22
Harry AIKINES-ARYEETEY,23
Isiah YOUNG,24
Jak Ali HARVEY,25
Jimmy VICAUT,26
Jon DRUMMOND,27
Justin GATLIN,28
Keston BLEDMAN,29
Kim COLLINS,30
Leroy BURRELL,31
Linford CHRISTIE,32
Marc BURNS,33
Mark LEWIS-FRANCIS,34
Maurice GREENE,35
Michael FRATER,36
Michael MARSH,37
Michael RODGERS,38
Nesta CARTER,39
Olapade ADENIKEN,40
Oshane BAILEY,41
Raymond STEWART,42
Richard THOMPSON,43
Shawn CRAWFORD,44
Tyson GAY,45
Uchenna EMEDOLU,46
Walter DIX,47
Yohan BLAKE,48
Yoshihide KIRYU,49
