Competitor,Rank,Mark,WIND,Nat,Pos,Venue,Date,Results Score,Net Result,AGE,AGE_AT_EVENT,current_match_ranking,match_year
0,8587,10.13,-0.2,1162.0257936507937,1,0,21-May-22,1163,10.11,32,29,1.0,2022
0,10382,10.15,0.2,1162.0257936507937,5,1,15-Jun-17,1155,10.17,32,25,5.0,2017
0,3690,10.05,1.9,1162.0257936507937,2h1,2,5-Jun-13,1189,10.24,32,21,2.0,2013
0,8587,10.13,1.5,1162.0257936507937,2,3,3-Jul-15,1162,10.28,32,23,2.0,2015
0,31544,10.29,2.3,1162.0257936507937,1h3,4,22-Jul-11,1095,10.52,32,19,1.0,2011
0,4132,10.06,-0.1,1162.0257936507937,3sf3,5,16-Jul-22,1186,10.05,32,30,3.0,2022
0,5146,10.08,1.6,1162.0257936507937,2,6,12-May-13,1179,10.24,32,20,2.0,2013
0,7744,10.12,0,1162.0257936507937,1h1,7,28-Apr-18,1165,10.12,32,25,1.0,2018
0,5722,10.09,3.1,1162.0257936507937,1f2,8,31-Mar-12,1158,10.4,32,19,1.0,2012
0,6354,10.1,2.2,1162.0257936507937,2h1,2,11-Jun-14,1159,10.32,32,22,2.0,2014
0,12446,10.17,0.7,1162.0257936507937,5sf2,9,28-Jul-14,1148,10.24,32,22,5.0,2014
0,12446,10.17,1.5,1162.0257936507937,5,10,6-Sep-16,1148,10.32,32,24,5.0,2016
0,25590,10.26,1,1162.0257936507937,5,11,29-Jun-12,1118,10.36,32,20,5.0,2012
0,8587,10.13,0.4,1162.0257936507937,2f1,12,13-Apr-19,1162,10.17,32,26,2.0,2019
0,16027,10.2,0.6,1162.0257936507937,3f1,13,4-Jul-20,1138,10.26,32,28,3.0,2020
0,6354,10.1,1.4,1162.0257936507937,1h3,3,3-Jul-15,1172,10.24,32,23,1.0,2015
0,16027,10.2,1.6,1162.0257936507937,3h2,13,10-Aug-20,1138,10.36,32,28,3.0,2020
0,6354,10.1,0.6,1162.0257936507937,4f1,14,22-Apr-16,1172,10.16,32,23,4.0,2016
0,22081,10.24,0.5,1162.0257936507937,1,6,27-Apr-13,1125,10.29,32,20,1.0,2013
0,968,9.95,3.1,1162.0257936507937,1f1,15,30-Apr-16,1206,10.26,32,23,1.0,2016
0,31544,10.29,0.1,1162.0257936507937,8h1,16,22-Jul-16,1108,10.3,32,24,8.0,2016
0,2845,10.03,2.1,1162.0257936507937,2h6,17,22-Aug-15,1184,10.24,32,23,2.0,2015
0,17420,10.21,0.7,1162.0257936507937,3f2,18,27-Jul-12,1135,10.28,32,20,3.0,2012
0,17420,10.21,0.4,1162.0257936507937,5,19,3-Sep-16,1135,10.25,32,24,5.0,2016
0,7744,10.12,0.8,1162.0257936507937,1sf1,20,30-May-14,1165,10.2,32,22,1.0,2014
0,4132,10.06,1.1,1162.0257936507937,3h5,5,15-Jul-22,1186,10.17,32,30,3.0,2022
0,4132,10.06,-0.3,1162.0257936507937,3,21,8-Sep-22,1187,10.03,32,30,3.0,2022
0,4132,10.06,2.3,1162.0257936507937,4f1,22,29-Apr-23,1173,10.29,32,30,4.0,2023
0,11386,10.16,4.3,1162.0257936507937,3sf2,8,25-May-12,1127,10.59,32,19,3.0,2012
0,7017,10.11,2,1162.0257936507937,1h6,8,23-May-13,1169,10.31,32,20,1.0,2013
0,7744,10.12,0.4,1162.0257936507937,1,23,25-Jun-21,1165,10.16,32,29,1.0,2021
0,17420,10.21,-0.4,1162.0257936507937,1,24,26-Jun-18,1137,10.17,32,26,1.0,2018
0,23770,10.25,0.2,1162.0257936507937,1,25,22-Jun-13,1122,10.27,32,21,1.0,2013
0,5722,10.09,3,1162.0257936507937,2,26,28-Apr-24,1158,10.39,32,31,2.0,2024
0,23770,10.25,-0.5,1162.0257936507937,1f1,8,24-May-13,1125,10.2,32,20,1.0,2013
0,5722,10.09,1.3,1162.0257936507937,3f1,27,1-May-22,1176,10.22,32,29,3.0,2022
0,23770,10.25,1,1162.0257936507937,1f1,6,24-Mar-12,1122,10.35,32,19,1.0,2012
0,11386,10.16,-0.1,1162.0257936507937,1,28,25-Jun-22,1152,10.15,32,30,1.0,2022
0,23770,10.25,2.4,1162.0257936507937,3,4,22-Jul-11,1108,10.49,32,19,3.0,2011
0,7017,10.11,3.1,1162.0257936507937,2h1,29,16-Apr-22,1151,10.42,32,29,2.0,2022
0,33876,10.3,0.7,1162.0257936507937,4f2,12,8-Apr-17,1105,10.37,32,24,4.0,2017
0,11386,10.16,-0.3,1162.0257936507937,2h1,30,27-Sep-19,1153,10.13,32,27,2.0,2019
0,7744,10.12,-1.6,1162.0257936507937,1f2,31,4-Sep-22,1174,9.96,32,30,1.0,2022
0,1277,9.97,2.2,1162.0257936507937,3f1,32,8-Apr-23,1204,10.19,32,30,3.0,2023
0,7744,10.12,2,1162.0257936507937,4h2,32,10-Apr-21,1165,10.32,32,28,4.0,2021
0,7744,10.12,-0.3,1162.0257936507937,2sf1,30,28-Sep-19,1166,10.09,32,27,2.0,2019
0,11386,10.16,0.8,1162.0257936507937,1h2,33,24-May-19,1152,10.24,32,26,1.0,2019
0,11386,10.16,0.1,1162.0257936507937,1,34,6-Jul-18,1152,10.17,32,26,1.0,2018
0,16027,10.2,1,1162.0257936507937,1,24,1-Jul-13,1138,10.3,32,21,1.0,2013
0,11386,10.16,1.5,1162.0257936507937,1h2,35,17-May-14,1152,10.31,32,21,1.0,2014
0,8587,10.13,2.8,1162.0257936507937,1h3,8,24-May-12,1146,10.41,32,19,1.0,2012
0,11386,10.16,0,1162.0257936507937,2f1,36,19-Apr-14,1152,10.16,32,21,2.0,2014
0,27452,10.27,1.1,1162.0257936507937,4f3,37,23-Jul-20,1115,10.38,32,28,4.0,2020
0,25590,10.26,1.4,1162.0257936507937,6h2,38,6-Jun-12,1118,10.4,32,20,6.0,2012
0,23770,10.25,-0.1,1162.0257936507937,4,39,12-May-18,1122,10.24,32,25,4.0,2018
0,22081,10.24,-0.1,1162.0257936507937,2f3,14,4-Apr-14,1125,10.23,32,21,2.0,2014
0,31544,10.29,-0.6,1162.0257936507937,2f2,40,30-Aug-22,1111,10.23,32,30,2.0,2022
0,4606,10.07,1.1,1162.0257936507937,1h2,6,11-May-13,1182,10.18,32,20,1.0,2013
0,13525,10.18,-0.7,1162.0257936507937,1,6,4-May-14,1149,10.11,32,21,1.0,2014
0,20480,10.23,0.3,1162.0257936507937,1h3,20,29-May-14,1128,10.26,32,22,1.0,2014
0,6354,10.1,0.9,1162.0257936507937,1h1,23,28-Jun-24,1172,10.19,32,32,1.0,2024
0,4606,10.07,0.2,1162.0257936507937,3,41,5-Jul-19,1182,10.09,32,27,3.0,2019
0,1101,9.96,1.7,1162.0257936507937,1sf3,42,26-Jul-19,1220,10.13,32,27,1.0,2019
0,4132,10.06,2.5,1162.0257936507937,1h1,3,9-Jul-16,1171,10.31,32,24,1.0,2016
0,10382,10.15,0.9,1162.0257936507937,7sf2,17,23-Aug-15,1155,10.24,32,23,7.0,2015
0,4606,10.07,-0.1,1162.0257936507937,2,3,9-Jul-16,1182,10.06,32,24,2.0,2016
0,22081,10.24,0.8,1162.0257936507937,3,10,4-Sep-18,1125,10.32,32,26,3.0,2018
0,5146,10.08,0.9,1162.0257936507937,1,28,28-Jul-23,1179,10.17,32,31,1.0,2023
0,9471,10.14,1,1162.0257936507937,1sf1,34,6-Jul-18,1159,10.24,32,26,1.0,2018
0,13525,10.18,2,1162.0257936507937,1,2,13-May-12,1145,10.38,32,19,1.0,2012
