Rank,Mark,WIND,Competitor,birth_year,Nat,Pos,Venue,Date,Results Score,Net Result,current_match_ranking,match_year,age_at_event,effective_score
1,9.58,0.9,Usain BOLT,1986,JAM,1,"Olympiastadion, Berlin (GER)",16-Aug-09,1356,9.67,1,2009,23,1
2,9.63,1.5,Usain BOLT,1986,JAM,1,"Olympic Stadium, London (GBR)",5-Aug-12,1337,9.78,1,2012,26,1
3,9.68,4.1,Tyson GAY,1982,USA,1,"Eugene, OR (USA)",29-Jun-08,1295,10.09,1,2008,26,0
4,9.69,5,Obadele THOMPSON,1976,BAR,1,"El Paso, TX (USA)",13-Apr-96,1286,10.19,1,1996,20,0
4,9.69,0,Usain BOLT,1986,JAM,1,"National Stadium, Beijing (CHN)",16-Aug-08,1316,9.69,1,2008,22,1
4,9.69,2,Tyson GAY,1982,USA,1,Shanghai (CHN),20-Sep-09,1316,9.89,1,2009,27,1
4,9.69,-0.1,Yohan BLAKE,1989,JAM,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",23-Aug-12,1316,9.68,1,2012,23,1
4,9.69,4.8,Andre DE GRASSE,1994,CAN,1,"Olympiastadion, Stockholm (SWE)",18-Jun-17,1288,10.17,1,2017,23,0
9,9.71,0.9,Tyson GAY,1982,USA,2,"Olympiastadion, Berlin (GER)",16-Aug-09,1308,9.8,2,2009,27,1
10,9.72,1.7,Usain BOLT,1986,JAM,1f1,"Icahn Stadium, New York, NY (USA)",31-May-08,1305,9.89,1,2008,22,1
10,9.72,0.2,Asafa POWELL,1982,JAM,1f1,"Stade Olympique de la Pontaise, Lausanne (SUI)",2-Sep-08,1305,9.74,1,2008,26,1
10,9.72,2.1,Asafa POWELL,1982,JAM,1,"Bislett Stadion, Oslo (NOR)",4-Jun-10,1293,9.93,1,2010,28,0
13,9.74,1.7,Asafa POWELL,1982,JAM,1h2,"Stadio Guidobaldi, Rieti (ITA)",9-Sep-07,1298,9.91,1,2007,25,1
13,9.74,5,Richard THOMPSON,1985,TTO,1f1,"Clermont, FL (USA)",31-May-14,1268,10.24,1,2014,29,0
13,9.74,0.9,Justin GATLIN,1982,USA,1,"Suhaim bin Hamad Stadium, Doha (QAT)",15-May-15,1298,9.83,1,2015,33,1
13,9.74,2.9,Andre DE GRASSE,1994,CAN,1,"Hayward Field, Eugene, OR (USA)",21-Aug-21,1281,10.03,1,2021,27,0
17,9.75,3.4,Tyson GAY,1982,USA,1h1,"Eugene, OR (USA)",25-Jun-09,1274,10.09,1,2009,27,0
17,9.75,2.6,Asafa POWELL,1982,JAM,1h2,"Suhaim bin Hamad Stadium, Doha (QAT)",14-May-10,1279,10.01,1,2010,28,0
17,9.75,1.1,Yohan BLAKE,1989,JAM,1,Kingston (JAM),29-Jun-12,1294,9.86,1,2012,23,1
17,9.75,1.5,Yohan BLAKE,1989,JAM,2,"Olympic Stadium, London (GBR)",5-Aug-12,1294,9.9,2,2012,23,1
17,9.75,4.3,Darvis PATTON,1977,USA,1f2,"Austin, TX (USA)",30-Mar-13,1269,10.18,1,2013,36,0
17,9.75,0.9,Justin GATLIN,1982,USA,1f1,"Stadio Olimpico, Roma (ITA)",4-Jun-15,1294,9.84,1,2015,33,1
17,9.75,2.7,Andre DE GRASSE,1994,CAN,1,"Eugene, OR (USA)",12-Jun-15,1278,10.02,1,2015,21,0
17,9.75,1.4,Justin GATLIN,1982,USA,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",9-Jul-15,1294,9.89,1,2015,33,1
17,9.75,2.1,Trayvon BROMELL,1995,USA,1f1,"University of North Florda Jax Track at Hodges Stadium, Jacksonville, FL (USA)",30-Apr-22,1282,9.96,1,2022,27,0
