Year,age_at_event mean,Average Net Result mean,Mark mean,Mark min,Mark var,current_match_ranking mean,current_match_ranking min,Average Rank mean,efficiency mean,Athlete,Nat,Years to Olympics,Olympic Ranking,Finalist_weight
2000,23,10.49,10.19,10.19,0,2,2,14702,0,Aaron ARMSTRONG,1147.236581,1,9,0
2001,24,10.29,10.285,10.27,0.00045,3,2,30664,1,Aaron ARMSTRONG,1147.236581,4,9,0
2002,25,10.346,10.232,10.2,0.00082,3.8,2,21029.8,0.8,Aaron ARMSTRONG,1147.236581,3,9,0
2003,26,10.29,10.2575,10.17,0.003425,5,3,26228.5,1,Aaron ARMSTRONG,1147.236581,2,9,0
2004,27,10.38,10.27,10.27,0,3,3,27452,1,Aaron ARMSTRONG,1147.236581,1,9,0
2005,28,10.25,10.1425,10,0.020691667,2.75,1,14703.75,0.75,Aaron ARMSTRONG,1147.236581,4,9,0
2008,31,10.285,10.16,10.1,0.008066667,2,1,13658.5,0.75,Aaron ARMSTRONG,1147.236581,1,9,0
2009,32,10.2725,10.1675,10.03,0.010158333,2.75,1,14692.5,0.75,Aaron ARMSTRONG,1147.236581,4,9,0
2010,33,10.27285714,10.21714286,10.14,0.002057143,2.571428571,1,19213,1,Aaron ARMSTRONG,1147.236581,3,9,0
2011,34,10.28333333,10.17666667,10.07,0.010133333,2.333333333,2,15586.66667,1,Aaron ARMSTRONG,1147.236581,2,9,0
2012,35,10.395,10.19,10.06,0.00664,2.333333333,1,16871.33333,0.5,Aaron ARMSTRONG,1147.236581,1,9,0
2013,36,10.6,10.285,10.28,5.00E-05,4,1,30462,0,Aaron ARMSTRONG,1147.236581,4,9,0
2011,19,10.505,10.27,10.25,0.0008,2,1,27657,0,Aaron BROWN,1140.106017,2,9,0
2012,20,10.411,10.21,10.09,0.004533333,2.5,1,19058.6,0.6,Aaron BROWN,1140.106017,1,9,0
2013,21,10.25166667,10.1425,10.01,0.006584091,1.916666667,1,11624.16667,0.833333333,Aaron BROWN,1140.106017,4,9,0
2014,22,10.23111111,10.15888889,10.07,0.003136111,2,1,12223.11111,0.888888889,Aaron BROWN,1140.106017,3,9,0
2015,23,10.25,10.1025,10.03,0.002758333,3,1,7042,0.75,Aaron BROWN,1140.106017,2,9,0
2016,24,10.21454545,10.10909091,9.95,0.012609091,3,1,10214.54545,0.818181818,Aaron BROWN,1140.106017,1,9,0
2017,25,10.26666667,10.14333333,9.98,0.025633333,3.666666667,2,15249,0.666666667,Aaron BROWN,1140.106017,5,9,0
2018,26,10.21,10.18666667,10.12,0.002946667,1.833333333,1,15312,1,Aaron BROWN,1140.106017,4,9,0
2019,27,10.16416667,10.10583333,9.96,0.008244697,2.416666667,1,8941.833333,0.916666667,Aaron BROWN,1140.106017,3,9,0
2020,28,10.35,10.212,10.15,0.00207,2.8,1,18393.8,1,Aaron BROWN,1140.106017,2,9,0
2021,29,10.2125,10.125,10.08,0.0017,3.75,1,8539.75,1,Aaron BROWN,1140.106017,1,9,0
2001,22,10.4,10.25,10.25,0,4,4,23770,1,Aaron EGBELE,1141.238585,4,9,0
2002,23,10.3075,10.2225,10.11,0.006891667,3,1,21340.25,0.75,Aaron EGBELE,1141.238585,3,9,0
2003,24,10.175,10.225,10.22,5.00E-05,2,2,19694.5,1,Aaron EGBELE,1141.238585,2,9,0
2004,25,10.36888889,10.21,10.03,0.008025,3,1,20115.11111,0.555555556,Aaron EGBELE,1141.238585,1,9,0
2005,26,10.33625,10.22625,10.16,0.002598214,3.125,2,20820.875,0.875,Aaron EGBELE,1141.238585,4,9,0
2011,18,10.53333333,10.22666667,10.17,0.003633333,1,1,20966.33333,0,Aaron ERNEST,1144.561396,2,9,0
2012,19,10.41363636,10.21818182,10.15,0.002996364,2.181818182,1,19793.09091,0.636363636,Aaron ERNEST,1144.561396,1,9,0
2013,20,10.39625,10.17125,10.04,0.006126786,2.875,1,14421.375,0.5,Aaron ERNEST,1144.561396,4,9,0
2014,21,10.38,10.1925,10.13,0.004025,2.25,1,16278.75,0.5,Aaron ERNEST,1144.561396,3,9,0
2015,22,10.26571429,10.16142857,10.09,0.004147619,3.142857143,1,12789.71429,0.714285714,Aaron ERNEST,1144.561396,2,9,0
2016,23,10.46,10.23,10.23,0,4,4,20480,0,Aaron ERNEST,1144.561396,1,9,0
2015,16,10.2325,10.295,10.28,0.0001,1.25,1,32752,1,Abdul Hakim SANI BROWN,1127.759152,2,9,0
2016,17,10.32,10.22,10.22,0,2,2,18909,1,Abdul Hakim SANI BROWN,1127.759152,1,9,0
2017,18,10.16571429,10.12857143,10.05,0.009280952,2.571428571,1,11065.42857,1,Abdul Hakim SANI BROWN,1127.759152,5,9,0
2018,19,10.4,10.19,10.19,0,2,2,14702,0,Abdul Hakim SANI BROWN,1127.759152,4,9,0
2019,20,10.16125,10.12,9.96,0.01392,1.875,1,11832.75,0.875,Abdul Hakim SANI BROWN,1127.759152,3,9,0
2021,22,10.39,10.2825,10.25,0.000491667,3.5,1,30183.5,0.75,Abdul Hakim SANI BROWN,1127.759152,1,9,0
2016,19,10.27,10.14,10.04,0.0124,2.333333333,1,12190,0.666666667,Abdullah Abkar MOHAMMED,1126.847059,1,9,0
2017,20,10.33,10.23333333,10.19,0.002033333,1.666666667,1,21520.66667,0.666666667,Abdullah Abkar MOHAMMED,1126.847059,5,9,0
2018,21,10.2,10.15571429,10.03,0.007428571,2.857142857,1,13163.71429,1,Abdullah Abkar MOHAMMED,1126.847059,4,9,0
2021,24,10.475,10.265,10.25,0.00045,3,2,26575,0.5,Abdullah Abkar MOHAMMED,1126.847059,1,9,0
2011,18,10.51333333,10.26333333,10.23,0.000933333,1.333333333,1,26492,0,Adam GEMILI,1137.753126,2,9,0
2012,19,10.20615385,10.16615385,10.05,0.006258974,1.615384615,1,14057,1,Adam GEMILI,1137.753126,1,9,0
2013,20,10.20428571,10.16571429,10.06,0.005328571,2.285714286,1,13553.42857,0.857142857,Adam GEMILI,1137.753126,4,9,0
2014,21,10.13777778,10.10555556,10.04,0.002377778,2,1,7329,1,Adam GEMILI,1137.753126,3,9,0
2015,22,10.204,10.05,9.97,0.00995,1.8,1,5390.8,0.8,Adam GEMILI,1137.753126,2,9,0
2016,23,10.22428571,10.20428571,10.11,0.005561905,3.142857143,1,18532,1,Adam GEMILI,1137.753126,1,9,0
2017,24,10.2525,10.1375,10.03,0.00485,3.625,1,10568.125,0.75,Adam GEMILI,1137.753126,5,9,0
2018,25,10.14,10.19,10.11,0.0049,2.333333333,1,16002.33333,1,Adam GEMILI,1137.753126,4,9,0
2019,26,10.14583333,10.12916667,10.04,0.003826515,2.833333333,1,9626.916667,0.833333333,Adam GEMILI,1137.753126,3,9,0
2020,27,10.31,10.28,10.28,0,2,2,29380,1,Adam GEMILI,1137.753126,2,9,0
2021,28,10.255,10.175,10.14,0.00245,6.5,5,13445.5,1,Adam GEMILI,1137.753126,1,9,0
2008,21,10.74,10.24,10.24,0,8,8,22081,0,Adam HARRIS,1122.359649,1,9,0
2009,22,10.40666667,10.23,10.09,0.00596,2.666666667,1,22419.83333,0.666666667,Adam HARRIS,1122.359649,4,9,0
2010,23,10.455,10.25,10.23,0.0008,2,2,23966,0.5,Adam HARRIS,1122.359649,3,9,0
2011,24,10.48,10.28,10.28,0,5,5,29380,1,Adam HARRIS,1122.359649,2,9,0
2012,25,10.28,10.3,10.3,0,3,3,33876,1,Adam HARRIS,1122.359649,1,9,0
2013,26,10.33555556,10.19666667,10.09,0.003975,2.333333333,1,17030.88889,0.666666667,Adam HARRIS,1122.359649,4,9,0
2014,27,10.29,10.18,9.9,0.013475,2,1,17082.55556,0.777777778,Adam HARRIS,1122.359649,3,9,0
2015,28,10.45,10.164,9.99,0.02463,2.6,1,18380.4,0.2,Adam HARRIS,1122.359649,2,9,0
2016,29,10.31333333,10.25666667,10.21,0.002033333,1,1,25628.66667,1,Adam HARRIS,1122.359649,1,9,0
2017,30,10.525,10.265,10.23,0.00245,1,1,27178,0,Adam HARRIS,1122.359649,5,9,0
2017,22,10.5,10.25,10.23,0.0008,2,1,23966,0.5,Adam THOMAS,1137.753126,5,9,0
2019,24,10.375,10.23,10.22,0.0002,1,1,20495,0.5,Adam THOMAS,1137.753126,3,9,0
2021,26,10.32375,10.2375,10.18,0.001078571,1.625,1,22062.125,0.875,Adam THOMAS,1137.753126,1,9,0
