Average Net Result mean_pro,age_at_event mean_pro,Mark mean_pro,Mark min_pro,Mark var_pro,current_match_ranking min_pro,current_match_ranking mean_pro,Average Rank mean_pro,Years to Olympics_pro,Nat_pro,efficiency mean_¹éÒ»»¯,Year,age_at_event mean,Average Net Result mean,Mark mean,Mark min,Mark var,current_match_ranking mean,current_match_ranking min,Average Rank mean,efficiency mean,Athlete,Nat,Years to Olympics,Olympic Ranking,Finalist_weight
0.000228111,0.000207274,0.000224363,0.000225905,0,0.000319642,0.000195295,0.000170971,8.85E-05,0.000226255,0,2000,23,10.49,10.19,10.19,0,2,2,14702,0,1,1147.236581,1,9,0
0.000223762,0.000216286,0.000226454,0.000227678,2.49E-05,0.000319642,0.000292942,0.000356594,0.000354045,0.000226255,0.000304295,2001,24,10.29,10.285,10.27,0.00045,3,2,30664,1,1,1147.236581,4,9,0
0.00022498,0.000225298,0.000225287,0.000226126,4.54E-05,0.000319642,0.00037106,0.000244557,0.000265534,0.000226255,0.000243436,2002,25,10.346,10.232,10.2,0.00082,3.8,2,21029.8,0.8,1,1147.236581,3,9,0
0.000223762,0.00023431,0.000225849,0.000225461,0.00018971,0.000479463,0.000488237,0.000305013,0.000177022,0.000226255,0.000304295,2003,26,10.29,10.2575,10.17,0.003425,5,3,26228.5,1,1,1147.236581,2,9,0
0.000225719,0.000243322,0.000226124,0.000227678,0,0.000479463,0.000292942,0.000319242,8.85E-05,0.000226255,0.000304295,2004,27,10.38,10.27,10.27,0,3,3,27452,1,1,1147.236581,1,9,0
0.000222892,0.000252334,0.000223317,0.000221693,0.001146105,0.000159821,0.00026853,0.000170991,0.000354045,0.000226255,0.000228221,2005,28,10.25,10.1425,10,0.020691667,2.75,1,14703.75,0.75,1,1147.236581,4,9,0
0.000223653,0.00027937,0.000223702,0.00022391,0.00044681,0.000159821,0.000195295,0.000158836,8.85E-05,0.000226255,0.000228221,2008,31,10.285,10.16,10.1,0.008066667,2,1,13658.5,0.75,1,1147.236581,1,9,0
0.000223381,0.000288382,0.000223867,0.000222358,0.000562667,0.000159821,0.00026853,0.00017086,0.000354045,0.000226255,0.000228221,2009,32,10.2725,10.1675,10.03,0.010158333,2.75,1,14692.5,0.75,1,1147.236581,4,9,0
0.000223389,0.000297394,0.00022496,0.000224796,0.000113944,0.000159821,0.000251093,0.00022343,0.000265534,0.000226255,0.000304295,2010,33,10.27285714,10.21714286,10.14,0.002057143,2.571428571,1,19213,1,1,1147.236581,3,9,0
0.000223617,0.000306406,0.000224069,0.000223244,0.000561282,0.000319642,0.000227844,0.000181259,0.000177022,0.000226255,0.000304295,2011,34,10.28333333,10.17666667,10.07,0.010133333,2.333333333,2,15586.66667,1,1,1147.236581,2,9,0
0.000226045,0.000315418,0.000224363,0.000223023,0.000367787,0.000159821,0.000227844,0.000196198,8.85E-05,0.000226255,0.000152148,2012,35,10.395,10.19,10.06,0.00664,2.333333333,1,16871.33333,0.5,1,1147.236581,1,9,0
0.000230503,0.00032443,0.000226454,0.0002279,2.77E-06,0.000159821,0.000390589,0.000354245,0.000354045,0.000226255,0,2013,36,10.6,10.285,10.28,5.00E-05,4,1,30462,0,1,1147.236581,4,9,0
0.000228437,0.000171227,0.000226124,0.000227235,4.43E-05,0.000159821,0.000195295,0.000321626,0.000177022,0.000224849,0,2011,19,10.505,10.27,10.25,0.0008,2,1,27657,0,2,1140.106017,2,9,0
0.000226393,0.000180239,0.000224803,0.000223688,0.0002511,0.000159821,0.000244118,0.000221634,8.85E-05,0.000224849,0.000182577,2012,20,10.411,10.21,10.09,0.004533333,2.5,1,19058.6,0.6,2,1140.106017,1,9,0
0.000222928,0.000189251,0.000223317,0.000221914,0.000364691,0.000159821,0.000187157,0.000135178,0.000354045,0.000224849,0.000253579,2013,21,10.25166667,10.1425,10.01,0.006584091,1.916666667,1,11624.16667,0.833333333,2,1140.106017,4,9,0
0.000222481,0.000198262,0.000223678,0.000223244,0.000173708,0.000159821,0.000195295,0.000142144,0.000265534,0.000224849,0.000270485,2014,22,10.23111111,10.15888889,10.07,0.003136111,2,1,12223.11111,0.888888889,2,1140.106017,3,9,0
0.000222892,0.000207274,0.000222436,0.000222358,0.000152783,0.000159821,0.000292942,8.19E-05,0.000177022,0.000224849,0.000228221,2015,23,10.25,10.1025,10.03,0.002758333,3,1,7042,0.75,2,1140.106017,2,9,0
0.000222121,0.000216286,0.000222581,0.000220584,0.000698414,0.000159821,0.000292942,0.000118786,8.85E-05,0.000224849,0.000248969,2016,24,10.21454545,10.10909091,9.95,0.012609091,3,1,10214.54545,0.818181818,2,1140.106017,1,9,0
0.000223255,0.000225298,0.000223335,0.000221249,0.001419822,0.000319642,0.00035804,0.000177332,0.000442556,0.000224849,0.000202863,2017,25,10.26666667,10.14333333,9.98,0.025633333,3.666666667,2,15249,0.666666667,2,1140.106017,5,9,0
0.000222022,0.00023431,0.000224289,0.000224353,0.000163215,0.000159821,0.00017902,0.000178065,0.000354045,0.000224849,0.000304295,2018,26,10.21,10.18666667,10.12,0.002946667,1.833333333,1,15312,1,2,1140.106017,4,9,0
0.000221026,0.000243322,0.000222509,0.000220806,0.000456671,0.000159821,0.000235981,0.000103985,0.000265534,0.000224849,0.000278937,2019,27,10.16416667,10.10583333,9.96,0.008244697,2.416666667,1,8941.833333,0.916666667,2,1140.106017,3,9,0
0.000225067,0.000252334,0.000224847,0.000225018,0.000114657,0.000159821,0.000273413,0.000213903,0.000177022,0.000224849,0.000304295,2020,28,10.35,10.212,10.15,0.00207,2.8,1,18393.8,1,2,1140.106017,2,9,0
0.000222077,0.000261346,0.000222931,0.000223466,9.42E-05,0.000159821,0.000366178,9.93E-05,8.85E-05,0.000224849,0.000304295,2021,29,10.2125,10.125,10.08,0.0017,3.75,1,8539.75,1,2,1140.106017,1,9,0
0.000226154,0.000198262,0.000225684,0.000227235,0,0.000639284,0.000390589,0.000276423,0.000354045,0.000225073,0.000304295,2001,22,10.4,10.25,10.25,0,4,4,23770,1,3,1141.238585,4,9,0
0.000224143,0.000207274,0.000225078,0.000224131,0.000381727,0.000159821,0.000292942,0.000248168,0.000265534,0.000225073,0.000228221,2002,23,10.3075,10.2225,10.11,0.006891667,3,1,21340.25,0.75,3,1141.238585,3,9,0
0.000221261,0.000216286,0.000225133,0.00022657,2.77E-06,0.000319642,0.000195295,0.000229029,0.000177022,0.000225073,0.000304295,2003,24,10.175,10.225,10.22,5.00E-05,2,2,19694.5,1,3,1141.238585,2,9,0
0.000225477,0.000225298,0.000224803,0.000222358,0.000444502,0.000159821,0.000292942,0.00023392,8.85E-05,0.000225073,0.000169053,2004,25,10.36888889,10.21,10.03,0.008025,3,1,20115.11111,0.555555556,3,1141.238585,1,9,0
0.000224768,0.00023431,0.000225161,0.00022524,0.000143914,0.000319642,0.000305148,0.000242128,0.000354045,0.000225073,0.000266258,2005,26,10.33625,10.22625,10.16,0.002598214,3.125,2,20820.875,0.875,3,1141.238585,4,9,0
0.000229053,0.000162215,0.00022517,0.000225461,0.000201249,0.000159821,9.76E-05,0.000243819,0.000177022,0.000225728,0,2011,18,10.53333333,10.22666667,10.17,0.003633333,1,1,20966.33333,0,4,1144.561396,2,9,0
0.000226451,0.000171227,0.000224983,0.000225018,0.000165968,0.000159821,0.000213049,0.000230176,8.85E-05,0.000225728,0.000193642,2012,19,10.41363636,10.21818182,10.15,0.002996364,2.181818182,1,19793.09091,0.636363636,4,1144.561396,1,9,0
0.000226072,0.000180239,0.00022395,0.000222579,0.000339361,0.000159821,0.000280736,0.000167707,0.000354045,0.000225728,0.000152148,2013,20,10.39625,10.17125,10.04,0.006126786,2.875,1,14421.375,0.5,4,1144.561396,4,9,0
