Year,age_at_event mean,Average Net Result mean,Mark mean,Mark min,Mark var,current_match_ranking mean,current_match_ranking min,Average Rank mean,efficiency mean,Athlete,Olympic_ranking,Nat
2012,19,10.32,10.19,10.19,0,1,1,14702,1,Akani SIMBINE,9,1140.91766
2013,20,10.73,10.24,10.24,0,2,2,22081,0,Akani SIMBINE,5,1140.91766
2014,21,10.26,10.20571429,10.02,0.005687912,2.071428571,1,18786.21429,1,Akani SIMBINE,5,1140.91766
2015,22,10.13190476,10.13818182,9.97,0.00965368,2.045454545,1,12187.27273,0.818181818,Akani SIMBINE,5,1140.91766
2016,23,10.15473684,10.09052632,9.89,0.015516374,2.105263158,1,9683.789474,0.894736842,Akani SIMBINE,5,1140.91766
2017,24,10.04375,10.018125,9.92,0.006402917,2.1875,1,3652.875,1,Akani SIMBINE,4,1140.91766
2018,25,10.0835,10.062,9.93,0.006448421,2.45,1,5540.85,0.95,Akani SIMBINE,4,1140.91766
2019,26,10.061875,10.03625,9.92,0.006398333,2.5625,1,4210.8125,1,Akani SIMBINE,4,1140.91766
2020,27,10.06285714,10.04142857,9.91,0.010680952,1,1,5197.285714,1,Akani SIMBINE,4,1140.91766
2021,28,10.021875,10.02529412,9.82,0.013688971,2.294117647,1,4947.823529,0.647058824,Akani SIMBINE,4,1140.91766
1976,22,10.29,10.29,10.29,0,2,2,31544,0,Aleksandr AKSININ,9,1123.318182
1980,26,10.3,10.275,10.26,0.00045,1,1,28567,0.5,Aleksandr AKSININ,4,1123.318182
1978,26,10.48,10.17,10.07,0.0124,1.333333333,1,15510.66667,0.666666667,Allan WELLS,1,1137.753126
1979,27,10.25,10.23166667,10.19,0.001096667,2,1,21075,1,Allan WELLS,1,1137.753126
1980,28,10.318,10.223,10.05,0.007045556,1.2,1,21848.8,0.8,Allan WELLS,1,1137.753126
1981,29,10.24666667,10.20666667,10.17,0.001633333,1,1,17414.33333,1,Allan WELLS,9,1137.753126
1982,30,10.61,10.02,10.02,0,1,1,2531,0,Allan WELLS,9,1137.753126
1983,31,10.18666667,10.21666667,10.15,0.003733333,4,3,19438,0.666666667,Allan WELLS,9,1137.753126
1984,32,10.29666667,10.23,10.18,0.0039,1,1,21607,0.333333333,Allan WELLS,9,1137.753126
1986,34,10.33666667,10.25333333,10.22,0.001233333,3.666666667,3,24741,1,Allan WELLS,9,1137.753126
1987,35,10.4,10.28,10.28,0,3,3,29380,1,Allan WELLS,9,1137.753126
2013,19,10.48833333,10.14166667,9.96,0.013696667,1.166666667,1,13087.83333,0.333333333,Andre DE GRASSE,3,1140.106017
2014,20,10.33333333,10.14666667,10.03,0.013233333,1.333333333,1,12939,0.666666667,Andre DE GRASSE,3,1140.106017
2015,21,10.13941176,9.995882353,9.75,0.008750735,1.529411765,1,2807.235294,0.647058824,Andre DE GRASSE,3,1140.106017
2016,22,10.11583333,10.045,9.91,0.009154545,2.083333333,1,5292.5,0.75,Andre DE GRASSE,3,1140.106017
2017,23,10.1475,10.0475,9.69,0.027392857,2,1,6895.75,0.75,Andre DE GRASSE,3,1140.106017
2018,24,10.25,10.2,10.15,0.0025,5,3,16726.33333,1,Andre DE GRASSE,3,1140.106017
2019,25,10.08076923,10.04923077,9.9,0.005357692,2.307692308,1,4548.923077,1,Andre DE GRASSE,3,1140.106017
2020,26,10.225,10.065,9.97,0.0121,1.75,1,6345.5,0.75,Andre DE GRASSE,3,1140.106017
2021,27,10.09692308,10,9.74,0.0193,2.076923077,1,4874.384615,0.846153846,Andre DE GRASSE,3,1140.106017
2002,20,10.316,10.23727273,10.12,0.002581818,2.272727273,1,22603.72727,0.818181818,Asafa POWELL,5,1151.202683
2003,21,10.18777778,10.10777778,10.02,0.003444444,1.666666667,1,7783.222222,0.888888889,Asafa POWELL,5,1151.202683
2004,22,9.987142857,10.00285714,9.87,0.013191209,1.357142857,1,4648,0.928571429,Asafa POWELL,5,1151.202683
2005,23,10.08375,9.9275,9.77,0.013335714,1.25,1,1614,0.75,Asafa POWELL,5,1151.202683
2006,24,10.0015,9.9725,9.77,0.021019737,1,1,4658.05,0.95,Asafa POWELL,5,1151.202683
2007,25,9.990666667,9.976666667,9.74,0.020180952,1.2,1,3842.733333,1,Asafa POWELL,5,1151.202683
2008,26,9.953333333,9.946190476,9.72,0.020424762,1.476190476,1,3649.571429,0.952380952,Asafa POWELL,5,1151.202683
2009,27,10.01391304,10.00130435,9.82,0.015120949,2.043478261,1,4493.086957,0.913043478,Asafa POWELL,7,1151.202683
2010,28,9.939,9.884,9.72,0.015826667,1.2,1,1300.5,0.7,Asafa POWELL,7,1151.202683
2011,29,10.00545455,9.927272727,9.78,0.005681818,1.181818182,1,1104,0.909090909,Asafa POWELL,7,1151.202683
2012,30,10.00333333,9.958888889,9.85,0.011536111,1.888888889,1,2582.222222,1,Asafa POWELL,7,1151.202683
2014,32,10.0675,10.04125,9.87,0.019783929,2.125,1,7210.875,1,Asafa POWELL,9,1151.202683
2015,33,9.954210526,9.963157895,9.81,0.006745029,1.631578947,1,1784.105263,0.894736842,Asafa POWELL,9,1151.202683
2016,34,10.07,10.025,9.92,0.00675,1.928571429,1,3946.571429,0.928571429,Asafa POWELL,9,1151.202683
2017,35,10.15714286,10.15428571,10.08,0.002195238,2.857142857,1,11412.85714,1,Asafa POWELL,9,1151.202683
2018,36,10.23,10.24,10.24,0,4,4,22081,1,Asafa POWELL,9,1151.202683
2019,37,10.28375,10.2025,10.02,0.007507143,2.75,1,18762.875,1,Asafa POWELL,9,1151.202683
2021,39,10.52,10.07,10.07,0,2,2,4606,0,Asafa POWELL,9,1151.202683
1992,19,10.38666667,10.27,10.22,0.0019,1,1,28109.66667,1,Ato BOLDON,9,1147.236581
1993,20,10.3,10.23,10.23,0,1,1,20480,1,Ato BOLDON,3,1147.236581
1994,21,10.30333333,10.10333333,10.07,0.001733333,3,2,6903.333333,0.666666667,Ato BOLDON,3,1147.236581
1995,22,10.153125,10.135,10.01,0.00728,1.875,1,11174.5,0.875,Ato BOLDON,3,1147.236581
1996,23,10.06526316,10.03684211,9.9,0.00845614,2.117647059,1,4634.736842,0.947368421,Ato BOLDON,3,1147.236581
1997,24,10.08454545,10.02727273,9.87,0.013641818,2.545454545,1,5047.818182,0.909090909,Ato BOLDON,2,1147.236581
1998,25,10.02190476,10.00380952,9.86,0.010754762,1.65,1,3808.142857,0.904761905,Ato BOLDON,2,1147.236581
1999,26,10.04125,9.98125,9.86,0.012869643,1.375,1,3110.375,0.875,Ato BOLDON,2,1147.236581
2000,27,10.15238095,10.09095238,9.95,0.008049048,2.277777778,1,7795.809524,0.80952381,Ato BOLDON,2,1147.236581
2001,28,10.15764706,10.10823529,9.88,0.013577941,2.235294118,1,10421.35294,0.823529412,Ato BOLDON,9,1147.236581
2002,29,10.42,10.24,10.23,0.0002,7,6,22125,0.5,Ato BOLDON,9,1147.236581
2003,30,10.31,10.22142857,10.09,0.006047619,4.285714286,1,21262.14286,1,Ato BOLDON,9,1147.236581
2004,31,10.08,10.11,10.09,0.0008,1.5,1,7154.5,0.5,Ato BOLDON,9,1147.236581
1996,20,10.36,10.3,10.3,0,1,1,33876,1,Aziz ZAKARI,9,1138.229236
1997,21,10.31,10.27666667,10.26,0.000233333,3.666666667,3,28838,1,Aziz ZAKARI,8,1138.229236
1998,22,10.29333333,10.25,10.17,0.0048,1,1,25178,1,Aziz ZAKARI,8,1138.229236
