F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,L1,L2
0.000224577,0.000225298,0.000226399,0.000227235,2.72e-05,0.000159821,0.000170883,0.000351006,0.000354045,0.000222836,0.000304295,9,0
0.000224632,0.000243322,0.000226785,0.000228343,0.0,0.000159821,9.76e-05,0.000393947,8.85e-05,0.000224385,0.000304295,9,0
0.000225937,0.000180239,0.00022583,0.000226126,0.000134782,0.000159821,0.000130196,0.00029829,0.000265534,0.000224385,0.000202863,9,0
0.000224414,0.000216286,0.000223592,0.000223688,0.000468043,0.000159821,9.76e-05,0.000143218,0.000354045,0.00022352,0.000304295,9,0
0.000223164,0.000207274,0.000224748,0.000223466,0.000492507,0.000159821,9.76e-05,0.000229148,0.000265534,0.000225728,0.000228221,9,0
0.000228329,0.000180239,0.000225684,0.000227235,0.0,0.000159821,9.76e-05,0.000276423,0.000265534,0.000225728,0.0,9,0
0.000223703,0.000216286,0.000225604,0.000225018,0.000156501,0.000159821,0.000195295,0.000282245,0.000177022,0.000220892,0.000276632,9,0
0.000230938,0.000243322,0.000224803,0.000226348,0.0,0.000319642,0.000195295,0.000202579,0.000265534,0.000227038,0.0,9,0
0.000223303,0.000180239,0.000224314,0.000223023,0.000424808,0.000159821,0.000325491,0.000198848,0.000177022,0.000227038,0.000270485,9,0
0.000226045,0.000261346,0.000226124,0.000227235,2.95e-05,0.000159821,0.000244118,0.000321626,0.000442556,0.000221593,0.000228221,9,0
0.000221712,0.000252334,0.000223733,0.000222358,0.00031282,0.000159821,0.000195295,0.000152633,0.000265534,0.000227038,0.000304295,9,0
0.000224149,0.000216286,0.00022539,0.000224796,0.00010801,0.000159821,0.000141046,0.000259065,0.000265534,0.000225009,0.000236674,9,0
0.000225719,0.000180239,0.000226234,0.000227235,6.92e-05,0.000159821,0.000341766,0.000335185,0.000354045,0.000225073,0.000152148,9,0
0.00022137,0.000198262,0.000224142,0.000225683,0.0,0.000479463,0.000292942,0.000157283,8.85e-05,0.000226255,0.000304295,9,0
0.000223883,0.000162215,0.000223604,0.000223244,0.000169092,0.000159821,0.000108497,0.000137616,0.000354045,0.000225728,0.000236674,9,0
0.000225683,0.000225298,0.000225243,0.000225461,0.000139582,0.000159821,0.000162746,0.000248043,8.85e-05,0.000225728,0.000202863,9,0
0.000225284,0.000180239,0.000225243,0.000223466,0.000557589,0.000159821,0.000219707,0.000271894,0.000265534,0.000225728,0.000152148,9,0
0.000224197,0.000225298,0.00022586,0.000226348,9.25e-05,0.000159821,0.000234354,0.000300498,0.000442556,0.000223075,0.000243436,9,0
0.00022735,0.000252334,0.000226124,0.000227457,1.11e-05,0.000159821,9.76e-05,0.000319625,0.000354045,0.000223077,0.000304295,9,0
0.000221515,0.00027937,0.000225096,0.000225683,0.000190171,0.000319642,0.000325491,0.00023683,0.000177022,0.000222733,0.000304295,9,0
0.000224098,0.000252334,0.000224062,0.000222801,0.000392461,0.000159821,0.000142032,0.000180445,8.85e-05,0.000230834,0.000165979,9,0
0.000225719,0.000189251,0.000224418,0.000224575,0.000222943,0.000159821,0.000219707,0.000189307,0.000265534,0.000225728,0.000152148,9,0
0.00023333,0.000216286,0.000226344,0.0002279,0.0,0.000479463,0.000292942,0.000341662,0.000265534,0.000222682,0.0,9,0
0.000225067,0.000252334,0.000222821,0.000222136,0.001107794,0.000159821,0.000244118,0.000124664,0.000354045,0.000225728,0.000152148,9,0
0.000226516,0.000189251,0.000225757,0.000225461,0.000289873,0.000159821,0.000162746,0.000301837,0.000442556,0.000225728,0.000202863,9,0
0.000224197,0.00023431,0.000224583,0.000226126,0.0,0.000479463,0.000292942,0.000186379,8.85e-05,0.000220617,0.000304295,9,0
0.000229416,0.000189251,0.000225023,0.00022657,0.0,0.000159821,9.76e-05,0.000219894,0.000265534,0.000224385,0.0,9,0
0.000230503,0.00032443,0.000226454,0.0002279,2.77e-06,0.000159821,0.000390589,0.000354245,0.000354045,0.000226255,0.0,9,0
0.000225502,0.000162215,0.000226124,0.000227013,9.97e-05,0.000159821,0.000146471,0.000325364,0.000354045,0.000224385,0.000304295,9,0
