Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1,9.76,+1.3,Usain BOLT,21 AUG 1986,JAM,1,,"Boudewijnstadion, Bruxelles (BEL)",16 SEP 2011,1291
2,9.78,+1.0,Asafa POWELL,23 NOV 1982,JAM,1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",30 JUN 2011,1283
3,9.79,+1.1,Tyson GAY,09 AUG 1982,USA,1h1,,"Clermont, FL (USA)",04 JUN 2011,1280
4,9.80,+1.3,Steve MULLINGS,29 NOV 1982,JAM,1,,"Hayward Field, Eugene, OR (USA)",04 JUN 2011,1276
5,9.82,0.0,Yohan BLAKE,26 DEC 1989,JAM,1,,"Letzigrund, Zürich (SUI)",08 SEP 2011,1269
5,9.82,+0.1,Yohan BLAKE,26 DEC 1989,JAM,1,,"Olympiastadion, Berlin (GER)",11 SEP 2011,1269
7,9.85,+1.3,Michael RODGERS,24 APR 1985,USA,2,,"Hayward Field, Eugene, OR (USA)",04 JUN 2011,1259
7,9.85,+1.0,Richard THOMPSON,07 JUN 1985,TTO,1,,Port-of-Spain (TTO),13 AUG 2011,1259
7,9.85,+0.1,Usain BOLT,21 AUG 1986,JAM,1,,"Sports Park Mladost, Zagreb (CRO)",13 SEP 2011,1259
10,9.86,+2.0,Asafa POWELL,23 NOV 1982,JAM,1,,"Puskás Ferenc Stadion, Budapest (HUN)",30 JUL 2011,1255
11,9.88,+1.0,Michael FRATER,06 OCT 1982,JAM,2,,"Stade Olympique de la Pontaise, Lausanne (SUI)",30 JUN 2011,1248
11,9.88,+1.0,Usain BOLT,21 AUG 1986,JAM,1,,"Stade Louis II, Monaco (MON)",22 JUL 2011,1248
13,9.89,+2.0,Steve MULLINGS,29 NOV 1982,JAM,1f1,,"Clermont, FL (USA)",21 MAY 2011,1245
13,9.89,+1.3,Ngonidzashe MAKUSHA,11 MAR 1987,ZIM,1,,"Des Moines, IA (USA)",10 JUN 2011,1245
13,9.89,+1.3,Nesta CARTER,11 OCT 1985,JAM,2,,"Boudewijnstadion, Bruxelles (BEL)",16 SEP 2011,1245
16,9.90,+2.0,Steve MULLINGS,29 NOV 1982,JAM,1f1,,"Starkville, MS (USA)",16 APR 2011,1241
16,9.90,+0.6,Asafa POWELL,23 NOV 1982,JAM,1sf2,,Kingston (JAM),24 JUN 2011,1241
16,9.90,+1.0,Nesta CARTER,11 OCT 1985,JAM,2,,"Stade Louis II, Monaco (MON)",22 JUL 2011,1241
16,9.90,+1.8,Asafa POWELL,23 NOV 1982,JAM,1h1,,"Puskás Ferenc Stadion, Budapest (HUN)",30 JUL 2011,1241
20,9.91,+0.6,Usain BOLT,21 AUG 1986,JAM,1,,"Stadio Olimpico, Roma (ITA)",26 MAY 2011,1238
20,9.91,-0.2,Usain BOLT,21 AUG 1986,JAM,1f1,,"Mestský Stadion, Ostrava (CZE)",31 MAY 2011,1239
20,9.91,+0.4,Asafa POWELL,23 NOV 1982,JAM,1,,"Alexander Stadium, Birmingham (GBR)",10 JUL 2011,1238
23,9.92,+1.3,Nesta CARTER,11 OCT 1985,JAM,3,,"Hayward Field, Eugene, OR (USA)",04 JUN 2011,1234
23,9.92,+2.0,Christophe LEMAITRE,11 JUN 1990,FRA,1,,Albi (FRA),29 JUL 2011,1234
23,9.92,-1.4,Yohan BLAKE,26 DEC 1989,JAM,1,,"DS, Daegu (KOR)",28 AUG 2011,1242
26,9.93,+0.6,Asafa POWELL,23 NOV 1982,JAM,2,,"Stadio Olimpico, Roma (ITA)",26 MAY 2011,1231
26,9.93,+1.0,Keston BLEDMAN,08 MAR 1988,TTO,1f1,,"Clermont, FL (USA)",04 JUN 2011,1231
26,9.93,+0.4,Nesta CARTER,11 OCT 1985,JAM,2,,"Alexander Stadium, Birmingham (GBR)",10 JUL 2011,1231
29,9.94,+1.3,Darvis PATTON,04 DEC 1977,USA,4,,"Hayward Field, Eugene, OR (USA)",04 JUN 2011,1227
29,9.94,+1.3,Michael FRATER,06 OCT 1982,JAM,5,,"Hayward Field, Eugene, OR (USA)",04 JUN 2011,1227
29,9.94,+1.3,Walter DIX,31 JAN 1986,USA,1,,"Hayward Field, Eugene, OR (USA)",24 JUN 2011,1227
32,9.95,+0.3,Asafa POWELL,23 NOV 1982,JAM,1,,"Shanghai Stadium, Shanghai (CHN)",15 MAY 2011,1224
32,9.95,+0.9,Yohan BLAKE,26 DEC 1989,JAM,1,,Montreuil-sous-Bois (FRA),07 JUN 2011,1224
32,9.95,+1.0,Christophe LEMAITRE,11 JUN 1990,FRA,1f2,,"Olympiastadion, Stockholm (SWE)",18 JUN 2011,1224
32,9.95,+1.3,Michael RODGERS,24 APR 1985,USA,1h2,,"Hayward Field, Eugene, OR (USA)",23 JUN 2011,1224
32,9.95,+1.3,Justin GATLIN,10 FEB 1982,USA,2,,"Hayward Field, Eugene, OR (USA)",24 JUN 2011,1224
32,9.95,+1.0,Christophe LEMAITRE,11 JUN 1990,FRA,3,,"Stade Olympique de la Pontaise, Lausanne (SUI)",30 JUN 2011,1224
32,9.95,+1.0,Asafa POWELL,23 NOV 1982,JAM,1h2,,"Alexander Stadium, Birmingham (GBR)",10 JUL 2011,1224
32,9.95,-1.6,Yohan BLAKE,26 DEC 1989,JAM,1,,"Crystal Palace, London (GBR)",05 AUG 2011,1233
32,9.95,-0.4,Yohan BLAKE,26 DEC 1989,JAM,1sf1,,"DS, Daegu (KOR)",28 AUG 2011,1226
32,9.95,0.0,Asafa POWELL,23 NOV 1982,JAM,2,,"Letzigrund, Zürich (SUI)",08 SEP 2011,1224
42,9.96,+1.1,Michael RODGERS,24 APR 1985,USA,1f1,,"Oxford, MS (USA)",24 APR 2011,1220
42,9.96,+1.1,Nickel ASHMEADE,07 APR 1990,JAM,2h1,,"Clermont, FL (USA)",04 JUN 2011,1220
42,9.96,+0.9,Christophe LEMAITRE,11 JUN 1990,FRA,2,,Montreuil-sous-Bois (FRA),07 JUN 2011,1220
45,9.97,+2.0,Ngonidzashe MAKUSHA,11 MAR 1987,ZIM,1,,"Durham, NC (USA)",23 APR 2011,1217
45,9.97,-0.2,Steve MULLINGS,29 NOV 1982,JAM,2f1,,"Mestský Stadion, Ostrava (CZE)",31 MAY 2011,1218
45,9.97,+1.3,Justin GATLIN,10 FEB 1982,USA,6,,"Hayward Field, Eugene, OR (USA)",04 JUN 2011,1217
45,9.97,+1.3,Rakieem SALAAM,05 APR 1990,USA,2,,"Des Moines, IA (USA)",10 JUN 2011,1217
45,9.97,+0.5,Daniel BAILEY,09 SEP 1986,ANT,1,,Strasbourg (FRA),12 JUN 2011,1217
45,9.97,+0.6,Yohan BLAKE,26 DEC 1989,JAM,1sf1,,Kingston (JAM),24 JUN 2011,1217
51,9.98,+0.5,Yohan BLAKE,26 DEC 1989,JAM,2,,Strasbourg (FRA),12 JUN 2011,1213
51,9.98,+0.6,Michael FRATER,06 OCT 1982,JAM,2sf1,,Kingston (JAM),24 JUN 2011,1213
51,9.98,+0.6,Nesta CARTER,11 OCT 1985,JAM,2sf2,,Kingston (JAM),24 JUN 2011,1213
