Year,Average Age mean,Average Net Result mean,Average Mark var,current_match_ranking mean,current_match_ranking min,Average Mark min,Nation mean,Athlete,Years to Olympics,Finalist_Weight
2011,19,10.505,0.0008,2,1,10.25,1162.025794,Aaron BROWN,2,0
2012,19.4,10.411,0.004533333,2.5,1,10.09,1162.025794,Aaron BROWN,1,0
2013,20.5,10.25166667,0.006584091,1.916666667,1,10.01,1162.025794,Aaron BROWN,4,0
2014,21.55555556,10.23111111,0.003136111,2,1,10.07,1162.025794,Aaron BROWN,3,0
2015,23,10.25,0.002758333,3,1,10.03,1162.025794,Aaron BROWN,2,0
2016,23.72727273,10.21454545,0.012609091,3,1,9.95,1162.025794,Aaron BROWN,1,0
2017,24.33333333,10.26666667,0.025633333,3.666666667,2,9.98,1162.025794,Aaron BROWN,5,0
2018,25.66666667,10.21,0.002946667,1.833333333,1,10.12,1162.025794,Aaron BROWN,4,0
2019,26.75,10.16416667,0.008244697,2.416666667,1,9.96,1162.025794,Aaron BROWN,3,0
2020,28,10.35,0.00207,2.8,1,10.15,1162.025794,Aaron BROWN,2,0
2021,28.5,10.2125,0.0017,3.75,1,10.08,1162.025794,Aaron BROWN,1,0
2012,19,10.32,0.009309695,1,1,10.19,1179.629412,Akani SIMBINE,1,0
2013,19,10.73,0.009309695,2,2,10.24,1179.629412,Akani SIMBINE,4,1
2014,20,10.26,0.005687912,2.071428571,1,10.02,1179.629412,Akani SIMBINE,3,1
2015,21,10.13190476,0.00965368,2.045454545,1,9.97,1179.629412,Akani SIMBINE,2,1
2016,22,10.15473684,0.015516374,2.105263158,1,9.89,1179.629412,Akani SIMBINE,1,1
2017,23,10.04375,0.006402917,2.1875,1,9.92,1179.629412,Akani SIMBINE,5,1
2018,24,10.0835,0.006448421,2.45,1,9.93,1179.629412,Akani SIMBINE,4,1
2019,25.1875,10.061875,0.006398333,2.5625,1,9.92,1179.629412,Akani SIMBINE,3,1
2020,26,10.06285714,0.010680952,1,1,9.91,1179.629412,Akani SIMBINE,2,1
2021,27,10.021875,0.013688971,2.294117647,1,9.82,1179.629412,Akani SIMBINE,1,1
2013,18,10.48833333,0.013696667,1.166666667,1,9.96,1162.025794,Andre DE GRASSE,4,1
2014,19,10.33333333,0.013233333,1.333333333,1,10.03,1162.025794,Andre DE GRASSE,3,1
2015,20,10.13941176,0.008750735,1.529411765,1,9.75,1162.025794,Andre DE GRASSE,2,1
2016,21,10.11583333,0.009154545,2.083333333,1,9.91,1162.025794,Andre DE GRASSE,1,1
