age_at_event mean,Average Net Result mean,Mark mean,Mark min,Mark var,current_match_ranking mean,current_match_ranking min,Average Rank mean,efficiency mean,Nat,Years to Olympics,Olympic Ranking
23,10.49,10.19,10.19,0.0,2.0,2.0,14702.0,0.0,1147.236581,1,9
24,10.29,10.285,10.27,0.00045,3.0,2.0,30664.0,1.0,1147.236581,4,9
25,10.346,10.232,10.2,0.00082,3.8,2.0,21029.8,0.8,1147.236581,3,9
26,10.29,10.2575,10.17,0.003425,5.0,3.0,26228.5,1.0,1147.236581,2,9
27,10.38,10.27,10.27,0.0,3.0,3.0,27452.0,1.0,1147.236581,1,9
28,10.25,10.1425,10.0,0.020691667,2.75,1.0,14703.75,0.75,1147.236581,4,9
31,10.285,10.16,10.1,0.008066667,2.0,1.0,13658.5,0.75,1147.236581,1,9
32,10.2725,10.1675,10.03,0.010158333,2.75,1.0,14692.5,0.75,1147.236581,4,9
33,10.27285714,10.21714286,10.14,0.002057143,2.571428571,1.0,19213.0,1.0,1147.236581,3,9
34,10.28333333,10.17666667,10.07,0.010133333,2.333333333,2.0,15586.66667,1.0,1147.236581,2,9
35,10.395,10.19,10.06,0.00664,2.333333333,1.0,16871.33333,0.5,1147.236581,1,9
36,10.6,10.285,10.28,5e-05,4.0,1.0,30462.0,0.0,1147.236581,4,9
19,10.505,10.27,10.25,0.0008,2.0,1.0,27657.0,0.0,1140.106017,2,9
20,10.411,10.21,10.09,0.004533333,2.5,1.0,19058.6,0.6,1140.106017,1,9
21,10.25166667,10.1425,10.01,0.006584091,1.916666667,1.0,11624.16667,0.833333333,1140.106017,4,9
22,10.23111111,10.15888889,10.07,0.003136111,2.0,1.0,12223.11111,0.888888889,1140.106017,3,9
23,10.25,10.1025,10.03,0.002758333,3.0,1.0,7042.0,0.75,1140.106017,2,9
24,10.21454545,10.10909091,9.95,0.012609091,3.0,1.0,10214.54545,0.818181818,1140.106017,1,9
25,10.26666667,10.14333333,9.98,0.025633333,3.666666667,2.0,15249.0,0.666666667,1140.106017,5,9
26,10.21,10.18666667,10.12,0.002946667,1.833333333,1.0,15312.0,1.0,1140.106017,4,9
27,10.16416667,10.10583333,9.96,0.008244697,2.416666667,1.0,8941.833333,0.916666667,1140.106017,3,9
28,10.35,10.212,10.15,0.00207,2.8,1.0,18393.8,1.0,1140.106017,2,9
29,10.2125,10.125,10.08,0.0017,3.75,1.0,8539.75,1.0,1140.106017,1,9
22,10.4,10.25,10.25,0.0,4.0,4.0,23770.0,1.0,1141.238585,4,9
23,10.3075,10.2225,10.11,0.006891667,3.0,1.0,21340.25,0.75,1141.238585,3,9
24,10.175,10.225,10.22,5e-05,2.0,2.0,19694.5,1.0,1141.238585,2,9
25,10.36888889,10.21,10.03,0.008025,3.0,1.0,20115.11111,0.555555556,1141.238585,1,9
